label;gyro_z_avg;gyro_x_avg;acc_y_stdev;gyro_z_stdev;gyro_x_stdev;acc_x_min;acc_z_min;gyro_z_min;gyro_x_min;acc_z_max;gyro_z_max;acc_x_max;acc_y_avg;gyro_x_max;gyro_y_avg;gyro_y_stdev;acc_z_stdev;acc_x_stdev;gyro_y_min;acc_y_min;gyro_y_max;acc_y_max;acc_x_avg;acc_z_avg
2;-92.77;5.28;4.76;63.83;23.82;-11.8;-5.56;-222.21;-29.75;4.19;-19.48;28.38;-11.01;46.92;22.35;75.21;2.15;8.33;-249.99;-26.14;93.72;0.68;1.91;-0.45
2;79.45;-25.25;6.13;211.71;44.53;-7.27;-14.37;-330.5;-107.72;4.99;380.21;18.43;-9.6;59.67;-32.44;89.72;4.45;6.73;-172.73;-26.83;148.61;-1.4;5.76;-1.52
2;-95.67;7.05;5.22;65.9;24;-8.47;-7.22;-245.47;-27.63;9.83;-16.82;19.65;-11.56;44.75;29.11;59.02;3.05;7.91;-174.87;-24.62;93.06;-1.18;1.88;-0.38
2;94.43;-39.51;5.78;219.17;51.71;-4.07;-16.78;-342.04;-144.48;7.02;386.8;14.97;-8.95;40.58;-30.96;109.08;5.17;5.82;-178.11;-27.65;221.98;-1.58;6.73;-0.53
2;-99.75;14.29;5.55;79.86;32.55;-14.47;-5.03;-239.12;-23.37;10.68;-20.09;20.98;-11.03;62.38;26.08;74.98;3.18;9.46;-141.58;-20.14;124.28;0.5;2.36;-0.49
2;87.23;-47.36;7.06;231.61;46.24;-2.84;-8.76;-332.01;-156.52;7.21;396.08;15.31;-9.76;3.12;-28.89;89.95;3.57;5.16;-189.47;-29.74;166;0.34;5.68;-0.09
2;-109.24;11.06;6.28;74.16;29.62;-14.84;-5.25;-261;-31.97;2.33;-29.28;33.13;-11.41;57.58;30.73;75.03;1.52;12.11;-194.33;-23.96;141.34;3.83;2.34;-1.39
2;101.38;-47.08;5;238.29;47.01;-3.79;-13.73;-408.93;-132.18;4.31;391.52;19.12;-9.83;18.06;-23.97;95.52;4;4.8;-201.02;-30.77;103.58;-4.74;6.34;-0.38
2;-131.56;11.2;8.09;88.16;26.35;-14.18;-3.74;-288.32;-23.11;4.89;-29.98;37.84;-11.95;52.68;39.4;122.95;2.88;13.03;-178.2;-27.61;327.76;10.9;2.93;-0.51
2;119.68;-41.01;6.84;253.76;46.8;-11.06;-15.16;-389.03;-145.27;6.22;442.63;21.44;-9.12;37.06;-37.94;92.88;4.72;8.32;-192.95;-27.99;198.97;0.02;7.03;-0.41
2;-113.91;15.67;6.7;92.4;33.4;-12.79;-3.08;-284.24;-27.92;8.64;-19.6;34.46;-11.32;67.05;1.25;92.83;3.43;12.42;-193.88;-22.29;137.24;4.53;1.85;-0.11
2;105.03;-40.92;7.34;261.5;41.83;-15.58;-16.51;-409.61;-130.56;6.86;448.55;25.72;-10.69;9.11;1.58;96.04;5.3;8.81;-188.39;-31.93;112.21;-1.12;7.19;-0.94
2;-113.88;13.57;8.65;81.93;30.43;-15.93;-4.12;-269.46;-26.84;5.19;-12.78;40.26;-11.22;62.91;17.99;95.57;2.86;14.48;-260.95;-27.76;150.26;10.37;1.5;-0.53
2;99.53;-35.79;6.82;243.25;47.08;-7.21;-15.04;-369.29;-141.83;7.18;420.04;22.88;-10.52;13.34;-25.46;111.99;5.02;8.13;-218.07;-33.83;170.6;-1.68;6.43;-0.81
2;-116.1;6.32;9.01;82.36;30.75;-21.65;-3.35;-302.92;-35.83;2.94;-19.88;37.77;-11.47;48.48;33.36;86.95;1.75;14.21;-229.66;-28.57;158.23;12.99;1.54;-0.83
2;101.25;-35.73;7.02;245.96;42.54;-8.15;-8.11;-357.36;-137.58;6.27;435;18.74;-10.21;25.87;-13.73;106.38;3.39;6.71;-239.44;-32.01;159.88;-1.17;6.29;-0.1
2;-122.95;17.13;8.95;84.09;24.86;-20.41;-6.14;-287.44;-22.61;3.63;-13.92;41.11;-11.19;58.59;25.91;89.66;1.94;14.45;-215.04;-28.48;207.36;13.62;1.3;-1.41
2;102.55;-37.88;7.95;245.44;49.45;-9.87;-15.15;-328.01;-151.18;6;440.73;22.3;-10.6;34.39;-38.93;108.69;4.93;9.24;-216.81;-36.05;207.7;0.07;6.58;-0.5
2;-124.16;3.92;9.79;75.54;27.05;-20.3;-4.93;-279.86;-37.33;2.36;-37.81;37.06;-11.55;49.9;29.67;94.03;1.82;14.41;-240.16;-29.47;140.03;12.79;0.58;-1.03
2;97.89;-38.86;6.79;253.88;49.55;-7.49;-14.97;-380.88;-141.54;5.55;434.39;23.09;-10.27;16.05;-34.48;110.92;5.01;8.72;-236.97;-29.6;134.45;-1.93;6.72;-0.42
2;-127.31;0.08;8.26;82.83;27.64;-20.55;-6.51;-260.73;-37.39;4.91;-18.2;37.32;-11.93;53.95;22.71;99.35;2.58;14.25;-220.25;-28.09;169.17;8.27;1.18;-0.8
2;112.52;-50.05;6.82;254.21;43.97;-3.37;-7.12;-346.64;-142.26;6.14;449.07;16.99;-9.39;0.13;-22.14;93.2;3.67;6.16;-163.03;-30.93;200.82;-1.71;6.61;0.52
2;-136.71;1.43;8.21;79.91;24.11;-21.03;-8.92;-282.79;-45.24;2.83;-42.27;37.34;-12.8;44.42;28.56;93.35;2.42;14.67;-230.62;-28.39;151.69;7.35;1.26;-1.27
2;114.47;-46.28;6.89;252.17;43.03;-3.55;-9.39;-319.1;-131.22;7.27;455.56;14.61;-9.29;16.71;-28.67;99.05;3.41;6.2;-201.41;-29.35;144.8;-1.13;6.27;-0.03
2;-128.59;6.15;7.7;84.61;29.92;-20.94;-5.35;-275.66;-42.51;5.85;-37.29;40.12;-12.31;51.54;30.44;94.19;2.62;14.9;-245.31;-26.83;128.92;5.73;1.12;-1.12
2;112.55;-41.85;7.55;258.4;48.55;-8.08;-8.94;-373.6;-145.99;7.17;461.22;18.6;-9.94;19.41;-27.01;101;3.91;7.31;-208.98;-30.21;109.17;-0.72;6.83;0.18
2;-132.2;1.69;8.91;75.82;28.85;-19.63;-9.27;-269.47;-52.95;4.37;-52.77;40.42;-12.24;49.39;14.13;95.07;2.8;15.19;-234.67;-29.01;154.04;14.82;0.91;-1.15
2;109.58;-34.01;7.76;270.69;44.31;-3.84;-11.26;-306.62;-117.74;8.6;487.47;20.22;-9.59;24.27;-13.86;89.25;4.83;6.9;-173.56;-29.93;143.79;0.64;6.71;-0.27
2;-130.59;1.14;7.59;75.85;27.38;-22.2;-4.41;-284.79;-36.46;2.94;-44.71;33.84;-12.77;48.91;30.52;100.82;2.11;14.66;-251.09;-25.62;174.72;5.95;1;-1.04
2;113.35;-36.67;7.23;248.97;37.14;-5.29;-6.59;-327.89;-114.92;6.34;445.01;15.31;-9.2;23.58;-23.59;62.89;3.27;5.26;-133.93;-32.36;61.25;-0.99;7.1;-0.06
2;-131.05;2.6;8;78.29;29.36;-17.45;-8.5;-276.14;-45.61;3.35;-50.07;39.82;-12.36;45.15;30.54;94.16;2.55;14.16;-261.33;-25.91;119.09;9.29;1.05;-1.31
2;124.98;-31.9;6.37;250.74;35.74;-1.63;-10.62;-352.63;-107.54;5.74;447.74;17.32;-9.3;21.01;-31.74;79.81;4.33;6.21;-201.21;-28.33;95.91;-0.24;8.02;-0.28
2;-129.34;1.99;7.33;83.65;29.82;-18.56;-6.99;-286.89;-37.65;3.91;-48.8;39.43;-12.64;47.12;33.9;93.37;2.35;14.26;-242.43;-26.14;155.92;6.94;0.65;-1.11
2;116.78;-34.27;7.67;249.45;38.38;-4.81;-6.86;-301.21;-119.07;9.15;450.63;18.9;-9.13;16.44;-19.78;87.64;3.6;6.68;-164.03;-31.46;173.85;1.87;7.7;-0.26
2;-143.05;7.84;7.69;67.71;24.08;-26.69;-8.51;-257.52;-40.69;7.13;-49.22;39.01;-13.69;45.74;32.4;93.58;2.98;15.56;-224.52;-28.55;139.45;7.59;-0.4;-1.69
2;114.01;-30.21;8.28;264.86;34.28;-10.98;-8.93;-299.57;-83.6;5.38;460.14;21.16;-9.2;29.93;-28.3;89.93;3.25;7.82;-209.42;-31.62;137.99;1.99;6.44;-0.01
2;-129.31;2.91;9.44;76.3;27.04;-24.49;-11.36;-288.21;-43.44;4.97;-39.2;38.71;-12.16;46.21;38.64;104.97;2.98;15.89;-278.79;-26.88;179.57;18.47;1.19;-1.54
2;116.21;-32.72;6.47;242.76;38.76;-3.76;-8.75;-279.05;-108.49;4.11;435.33;16.51;-8.92;32.6;-31.77;70.35;3.43;5.83;-192.71;-29.22;139.64;-1.65;7.3;-0.3
2;-130.43;7.67;8.6;72.96;28.33;-22.37;-8.91;-258.08;-35.39;4.51;-40.06;38.32;-12.89;52.99;36.78;93.5;2.72;14.59;-220.01;-31.51;147.53;10.08;0.53;-1.61
2;108.3;-32.89;5.05;250.3;51.5;-5.09;-9.15;-397.01;-134.04;6.36;433.45;26.25;-9.86;45.46;-38.92;78.06;4.21;8.08;-184.95;-24.46;84.1;-2.02;8.49;-0.07
2;-123.17;5.88;7.44;84.31;26.42;-18.37;-4.36;-274.13;-32.68;3.16;-21.85;30.59;-12.46;54.53;26.84;74.65;2.38;13.61;-147.08;-27.78;126.56;4.35;0.83;-1.13
2;101.93;-53.15;7.58;262.74;51.5;-1.83;-13.17;-340.15;-160.7;6.27;459.51;17.58;-9.41;15.89;-28.94;111.55;4.19;6.41;-187.37;-35.76;150.87;-0.45;6.68;0.35
2;-133.3;8.21;8.91;75.13;25.37;-18.73;-5.52;-293.9;-30.05;3.42;-46.14;38.66;-12.36;50.41;20.48;94.2;1.75;14.59;-227.79;-28.33;131.96;11.2;1.37;-1.16
2;119.7;-27.93;6.57;257.99;48.87;-1.45;-13.49;-386.55;-109.8;6.57;450.8;23.56;-9.63;45.2;-26.44;75.08;5.66;7.61;-159.15;-31.04;99.98;-1.17;8.36;-0.12
2;-119.65;1.1;7.36;89.5;27.33;-19.63;-5.29;-258.15;-35.07;3.72;-15.3;31.85;-11.89;49.04;21.09;75.97;1.94;13.08;-185.65;-24.84;113.05;3;0.51;-0.94
2;112.44;-36.7;7.65;262.78;48.47;-9.5;-19.58;-365.77;-136.87;7.17;462.39;25.74;-10.63;37.71;-31.02;134.3;6.48;8.97;-269.64;-33.43;160.79;0.09;7.77;-0.4
2;-129.27;-6.15;8.92;87.09;29.91;-22.54;-6.38;-267.4;-50.63;3.58;-33.15;33.44;-12.21;54.2;24.8;100.91;3.71;14.91;-268.28;-25.35;157.75;12.79;0.67;-1.07
2;117.51;-47.64;8.29;261.15;49.33;-5.22;-11.13;-373.16;-139.12;10.05;463.44;26.84;-10.02;39.1;-16.84;120.19;3.98;7.97;-314.89;-32.6;155.15;-0.52;7.18;0.61
2;-134.1;14.46;9.14;78.54;31.53;-25.06;-6.1;-259.29;-47.47;5.64;-46.29;38.37;-12.44;78.96;19.71;100.54;3;16.09;-236.24;-26.6;140.97;16.33;0.15;-1.1
2;109.83;-45.26;7.64;256.75;46.96;-3.2;-11.6;-287.2;-123.94;8.12;459.76;20.34;-8.58;22.16;-22.35;110.02;4.02;6.63;-244.11;-29.72;166.15;3.07;7.4;0.01
2;-137.8;5.86;8.19;75.48;25.22;-26.61;-9.01;-259.15;-32.65;5.6;-35.37;34.54;-13.27;58.62;19.46;111.98;2.94;15.37;-224.81;-28.34;153.67;8.9;0.28;-1.32
2;129.14;-22.45;7.8;266.33;40.41;-14.3;-15.03;-399.65;-107;6.49;459.75;21.89;-9.95;39.67;-22.74;65.92;5.3;7.08;-113.34;-35.34;127.12;1.59;7.77;-0.29
2;-125.65;0.17;10.39;84.64;26.43;-22.58;-10.16;-264.13;-53.11;4.15;-24.71;40.48;-11.84;70.76;29.52;100.68;3.29;15.43;-300.76;-26.12;170.38;21.14;0.69;-1.28
2;123.37;-49.67;8.11;252.46;57.38;-12.47;-6.8;-370.56;-161.11;14.73;442.35;22.6;-9.45;32.12;-17.95;81.33;3.75;8.58;-171.87;-36.09;101.9;0.18;7.37;1.06
2;-143.09;16.14;9.65;84.38;26.07;-22.6;-11.8;-270.93;-46.7;11.1;-49.4;38.91;-12.62;71.13;0.75;93.15;3.68;15.41;-223.41;-27.39;121.75;18.11;0.31;-1.11
2;119.58;-56.92;7.67;262.92;53.9;-3.25;-9.3;-304.59;-173.78;5.1;481.47;18.56;-9.37;18.08;-14.7;117.04;3.44;6.2;-294.2;-32.34;112.8;1.41;6.64;0.21
2;-142.04;13.57;8.72;75.59;24.23;-21.66;-5.37;-306.02;-26.45;3.81;-58.9;41.27;-12.47;50.13;21.38;82.6;2.19;15.71;-184.72;-27.86;98.71;11.61;1.61;-1.06
2;111.59;-45.63;8.28;260.74;49.99;-4.62;-9.31;-389.44;-157.18;6.54;457.07;22.58;-9.55;19.71;-21.63;101.73;3.89;7.75;-200.73;-27.34;152;2.99;7.55;-0.03
2;-129.13;9.75;8.19;86.41;25.89;-17.75;-5.15;-268.13;-29.82;3.25;-40.53;37.16;-12.38;53.19;25.95;77.68;2.2;14.43;-157.7;-29.21;122.71;6.06;0.95;-1.26
