label;gyro_z_avg;gyro_x_avg;acc_y_stdev;gyro_z_stdev;gyro_x_stdev;acc_x_min;acc_z_min;gyro_z_min;gyro_x_min;acc_z_max;gyro_z_max;acc_x_max;acc_y_avg;gyro_x_max;gyro_y_avg;gyro_y_stdev;acc_z_stdev;acc_x_stdev;gyro_y_min;acc_y_min;gyro_y_max;acc_y_max;acc_x_avg;acc_z_avg
0;89.69;42.8;4.63;176.91;89.65;-10.01;-9.36;-187.21;-114.68;5.32;336.12;14.14;-8.98;188.82;-3.25;110.98;3.58;6.65;-262.89;-19.13;187.49;-0.78;4.71;-2.48
0;-86.5;-27.39;3.82;48.74;14.73;-7.03;-7.47;-186.46;-93.12;10.6;-27.45;18.21;-11.32;-9.44;6.05;56.58;3.25;5.12;-150.72;-25.22;74.43;-3.53;0.7;0.98
0;92.14;42.84;5.07;189.8;85.05;-11.77;-10.45;-197.75;-85.58;4.77;358.48;16.54;-9.27;189.49;0.19;121.37;3.78;7.48;-288.14;-19.9;170.76;-0.26;4.45;-2.13
0;-88.92;-35.41;2.25;48.19;17.31;-13.66;-6.82;-181.62;-81.02;5.86;-33.89;20.03;-11.49;-12.96;-2.83;78.64;2.96;6.3;-260.3;-17.3;84.45;-5.43;0.8;0.87
0;85.11;39.74;4.09;177.21;86.2;-7.72;-7.18;-190.6;-82.47;5.03;326.62;12.36;-8.98;168.83;5.42;87.85;3.26;5.5;-165.62;-18.11;150.63;0.26;4.72;-1.94
0;-85.51;-28.71;1.24;44.94;12.04;-4.16;-2.19;-175.62;-63;5.62;-42.77;14.86;-11.28;-17.07;4.64;72.7;1.95;5.15;-200.24;-13.86;69.81;-7.86;1.2;0.73
0;87.55;47.33;4.93;177.81;87.8;-12.01;-11.19;-182.41;-74.7;5.53;341.07;15.78;-9.31;201.66;-1.1;123.43;4.04;7.21;-297.7;-20.24;156.53;0.48;4.65;-2.37
0;-89.81;-32.34;3.07;49.09;15.23;-13.18;-4.48;-191.99;-68.33;5.9;0.41;22.31;-11.58;-14.15;-1.87;70.75;2.62;5.9;-220.77;-21.21;80.22;-5.43;0.26;0.76
0;98.6;62.37;4.63;179.99;92.95;-12.85;-9.41;-200.95;-91.2;5.28;328.18;15.98;-9.16;203.56;7.92;126.31;3.79;7.98;-295.65;-18.97;174.28;-0.34;4.95;-2.82
0;-93.29;-35.47;2.43;40.07;13.17;-14.27;-4.82;-173.84;-68.29;5.75;-19.47;23.78;-11.38;-19.18;5.16;95.15;2.22;6.06;-331.07;-17.62;121.44;-7.03;0.45;0.89
