label;gyro_z_avg;gyro_x_avg;acc_y_stdev;gyro_z_stdev;gyro_x_stdev;acc_x_min;acc_z_min;gyro_z_min;gyro_x_min;acc_z_max;gyro_z_max;acc_x_max;acc_y_avg;gyro_x_max;gyro_y_avg;gyro_y_stdev;acc_z_stdev;acc_x_stdev;gyro_y_min;acc_y_min;gyro_y_max;acc_y_max;acc_x_avg;acc_z_avg
0;3.41;0.06;7.97;181.29;56.52;-8.04;-11.01;-208.83;-145.22;8.59;342.2;30.35;-11.7;93.63;33.82;142.21;4.62;9.88;-262.89;-37.74;353.41;-2.06;5.37;-1.41
0;48.07;28.6;3.76;208.5;35.65;-13.91;-10.31;-203.08;-48.21;5.19;345.26;18.1;-10.96;92.57;15.05;119.99;3.07;7.06;-257.39;-18.08;381.56;-1.9;1.05;-0.22
0;-72.41;-14.81;6.64;150.28;41.82;-12.83;-12.9;-219.09;-145.19;13.75;406.84;23.89;-12.04;81.05;18.6;115.82;5.23;9.59;-189.72;-37.68;280.44;-4.19;2.35;-0.2
0;-44.78;-1.3;6.13;178.93;35.82;-12.43;-6.31;-196.44;-105;11.27;337.2;17.45;-12.1;69.24;10.3;105.16;3.74;8.19;-271.95;-33.43;273.35;-3.78;2.55;0.28
0;-51.68;-8.06;6.64;165.15;44.23;-18.16;-11.14;-215.83;-143.39;15.33;388.8;23.3;-11.96;86.39;11.2;92.49;5.44;9.27;-228.61;-37.51;239.75;-3.75;2.72;-0.12
0;-130.73;-17.46;6.12;71.94;27.03;-17.82;-11.33;-226.46;-105.66;14.32;110.91;26.12;-13.27;56.37;-24.99;108.78;4.47;9.36;-254.65;-34.67;144.67;-6.33;-1.49;-0.03
0;-142.4;-18.24;6.68;48.33;26.32;-12.86;-10.08;-220.94;-122.03;16.77;-60.35;22.66;-13.59;5.46;-25.87;94.63;5.1;8.11;-234.93;-37.06;151.8;-4.91;-2.5;0.65
0;-75.87;-14.51;6.51;155.07;38.82;-13.04;-11.9;-238.06;-119.83;15.84;391.63;22.15;-12.27;108.72;24.95;100.13;5.5;10.22;-253.79;-36.09;211.47;-3.19;1.01;0.06
0;-45.99;-8.37;6.53;170.41;44.3;-11.18;-5.26;-201.89;-134.95;10.32;390.25;16.27;-11.87;84.02;15.6;70.7;3.46;7.86;-135.98;-36.42;121.88;-6.13;2.63;-0.28
0;-118.29;-20.08;6.81;92.21;23.33;-13.82;-13.48;-233.97;-70.86;16.76;192.38;26.73;-12.69;36.08;-8.4;71;5.43;9.01;-167;-34.39;104.03;-1.91;-1.8;0.28
0;-132.16;-12.32;7.29;79.49;28.05;-20.35;-8.1;-249.01;-115.18;11.28;148.31;12.93;-13.01;44.83;-26.95;70.7;4.35;8.05;-196.85;-36.81;82.03;-3.77;-2.76;0.53
