label;gyro_z_avg;gyro_x_avg;acc_y_stdev;gyro_z_stdev;gyro_x_stdev;acc_x_min;acc_z_min;gyro_z_min;gyro_x_min;acc_z_max;gyro_z_max;acc_x_max;acc_y_avg;gyro_x_max;gyro_y_avg;gyro_y_stdev;acc_z_stdev;acc_x_stdev;gyro_y_min;acc_y_min;gyro_y_max;acc_y_max;acc_x_avg;acc_z_avg
0;106.94;74.21;3.73;187.05;119.4;-9.75;-13.16;-160.26;-115.47;0.26;366.43;12.79;-10.03;236.35;-14.52;88.57;3.41;6.12;-191.66;-17.05;105.29;-2.61;5.55;-5.35
0;-105.88;-58.11;3.94;32.98;16.8;-11.26;-10.56;-184.1;-112.36;5.17;-60.39;15.06;-12.62;-29.74;26.94;65.07;3.9;6.98;-127.59;-26.28;146.91;-7.09;0.72;0.22
0;96.98;67.95;3.89;174.19;107.51;-12.95;-9.77;-175.16;-122.19;3.39;319.97;12.94;-10.78;200.72;-22.26;92.09;3.48;6.89;-247.06;-23.14;81.01;-5.22;5.31;-4.71
0;-111.57;-65.14;3.67;39.2;12.72;-11.75;-8.8;-183.86;-100.39;6.46;-50.77;21.31;-12.91;-38.4;19.84;77.44;3.95;7.69;-197.4;-24.72;134.46;-5.82;-0.15;0.14
0;116.33;79.69;3.54;189.48;121.47;-11.82;-11.01;-178.05;-136.94;1.35;370.48;19.38;-9.8;253.25;-8.6;93.28;3.94;6.87;-221.09;-20.86;170.94;-5.31;6.98;-5.63
0;-104.76;-56.52;3.46;30.94;14.39;-8.14;-7.1;-165.21;-92.29;8.04;-65.94;16.06;-12.38;-37.97;19.45;55.56;3.88;5.91;-135.17;-23.54;93.58;-6.34;0.57;0.15
0;90.95;57.94;3.7;184.46;108.9;-6.69;-12.21;-161.25;-117.84;2.74;345.92;18.76;-9.44;212.94;-9.27;88.26;3.49;7.49;-173.01;-17.23;190.08;-3.17;6.38;-5.17
0;-100.81;-52.64;3.56;35.24;19.06;-10.15;-10.47;-174.72;-86.6;9.23;-60.03;12.43;-12.73;-29.67;22.95;60.26;4.65;5.43;-127.39;-25.16;103.31;-7.36;0.35;0.2
0;95.09;64.34;4.78;201.44;113.06;-6.87;-13.27;-176.51;-123.08;4.39;404.24;19.44;-9.59;223.58;-22.92;82.19;3.59;6.83;-182.82;-19.37;126.94;-3.87;6.7;-5.3
0;-110.61;-61.07;3.52;43.15;20.17;-9.87;-10.61;-192.31;-97.24;10.83;-53.87;16.2;-13.03;-31.07;18.37;65.12;4.73;6.09;-158.16;-23.52;137.95;-6.45;-1.01;0.12
0;132.62;85.43;3.93;200.62;115.98;-9.97;-12.83;-178.75;-123.45;-1.48;402.51;21.09;-9.79;223.88;-7.59;84.33;4.09;6.94;-197.01;-22.03;131.17;-4.57;8.01;-6.11
0;-99.75;-59.27;3.93;31.73;13.7;-7.81;-10.65;-151.5;-85.36;14;-49.23;15.74;-12.71;-29.12;22.96;72.25;5.17;6.04;-188.62;-24.96;140.5;-7.03;0.22;-0.1
0;66.79;52.05;3.98;196.74;103.1;-14.54;-12.52;-190;-133.04;6.49;361.15;19.01;-10.94;185.53;-26.09;107.21;4.91;8.83;-268.18;-21.92;99.51;-3.3;5.22;-4.22
0;-106.58;-62.3;3.74;44.4;15.78;-12.83;-9.44;-185.7;-87.88;9.58;-45.71;12.96;-12.7;-30.76;20.41;73.43;3.99;6.07;-205.9;-20.4;105.33;-3.81;-1.14;0.19
0;135.85;88.56;4.96;209.79;123.09;-3.24;-11.9;-187.79;-133.4;-0.43;412.06;23.43;-8.75;275.27;7.14;87.29;3.91;7.18;-219.46;-20.42;194.48;-0.31;8.32;-5.91
0;-105.81;-57.38;3.92;42.03;20.49;-8.41;-10.07;-186.56;-97.71;11.01;-55.08;20.16;-12.63;-22.23;18.54;84.09;5.11;7.29;-219.12;-26.14;161.75;-4.34;0.1;0.33
