label;gyro_z_avg;gyro_x_avg;acc_y_stdev;gyro_z_stdev;gyro_x_stdev;acc_x_min;acc_z_min;gyro_z_min;gyro_x_min;acc_z_max;gyro_z_max;acc_x_max;acc_y_avg;gyro_x_max;gyro_y_avg;gyro_y_stdev;acc_z_stdev;acc_x_stdev;gyro_y_min;acc_y_min;gyro_y_max;acc_y_max;acc_x_avg;acc_z_avg
0;-121.6;-31.64;4.13;50.94;7.53;-15.59;-5.01;-195.26;-49.82;11.99;36.19;23.26;-12.69;-18.08;-3.07;66.72;3.33;7.49;-184.86;-20.45;75.91;-4.76;0.98;0.94
0;-119.09;-35.24;4.19;61.08;18.89;-15.51;-10.53;-211.14;-83.16;17.44;85.55;30.03;-13.25;12.23;-4.22;99.88;5.05;8.88;-258.26;-19.38;214.79;-5.06;0.72;0.7
0;-43.56;-15.39;4.3;149.25;42.21;-12;-5.09;-175.84;-58;12.87;392.66;18.71;-11.16;145.13;7.89;71.42;3.8;7.41;-158.09;-22.95;128.61;-4.8;4.62;0.19
0;-122.43;-26.95;4.13;51.1;22.77;-19.67;-10.29;-201.96;-96.67;19.77;43.23;34.24;-12.98;30.59;-3.72;104.71;5.05;10.13;-305.58;-23.17;173.18;-5.79;0.43;1.05
0;-36.23;-13.65;4.76;181.49;45.84;-18.55;-6.67;-179.34;-56.47;13.61;500.17;29.37;-11.5;142.81;9.49;75.28;4.12;9.22;-109.34;-21.85;180.61;-2.25;4.59;0.39
0;-46.06;-14.57;4.23;157.85;33.11;-6.67;-7.87;-177.75;-49.49;15.39;393.67;23.07;-11.21;129.37;22.6;71.78;4.14;7.5;-131.21;-22.63;136.83;-3.99;4.37;0.33
0;-110.85;-21.57;4.67;38.09;13.24;-14.7;-5.7;-174.36;-55.38;10.98;20.6;18.53;-12.15;3.6;10.94;66.85;3.49;6.78;-171.17;-23.42;113.77;-5.01;2.23;0.85
0;-123.44;-28.36;3.9;47.97;12.01;-15.91;-6.41;-226.2;-50.28;11.65;10.16;21.09;-12.57;-8.96;0.2;69.82;3.37;7.05;-179.19;-19.09;135;-5.18;0.97;0.96
0;-33.56;-15.14;3.91;158.19;36.25;-6.88;-5.7;-165.16;-54.38;12.37;397.21;19.94;-11.2;129.14;11.66;77.54;3.76;7.13;-119.78;-20.64;153.99;-5.99;4.76;0.04
0;-127.48;-32.29;3.99;56.46;16.64;-14.2;-7.68;-221.99;-72.55;15.54;11.37;28.52;-13.17;8.96;2.21;85.57;4.35;8.79;-223.96;-20.45;171.98;-7.23;1.1;0.62
0;32.48;3.99;3.84;208.24;58.52;-9.95;-8.21;-193.38;-62.21;15.91;424.6;19.99;-10.33;121.92;10.06;77.38;4.4;7;-118.39;-21.5;159.67;-5.31;4.99;-0.11
0;-117.48;-28.79;4.16;52.6;10.86;-16.41;-5.94;-210.74;-53.61;13.42;36.7;21.65;-12.82;-11.78;3.74;68.89;3.55;7.28;-121.66;-22.73;147.22;-6.62;0.66;1.01
0;10.91;-1.05;4.79;215.42;55.57;-8.85;-7.48;-211.11;-70.21;14.87;465.46;25.62;-10.41;132.48;9.99;86.84;4.28;6.99;-182.39;-20.46;184.9;-0.31;5.49;0.18
0;53.34;33.44;5.55;237.29;57.38;-17.8;-6.54;-229.27;-45.2;3.43;366.73;17.18;-10.84;114.71;-0.76;97.24;2.56;9.14;-178.32;-17.73;224.69;2.97;2.67;-0.21
0;-78.99;-25.26;4.05;131.59;25.2;-12.44;-8.94;-215.09;-78.82;14.2;354.55;19.93;-11.89;82.32;8.69;68.72;3.89;7.64;-183.41;-18.78;158.99;-4.59;2.09;0.64
0;-7.03;-13.47;4.48;177.51;48.9;-8.85;-7.74;-201.46;-71.77;17.31;415.18;22.34;-10.75;130;-9.65;97.02;5.56;7.61;-231.89;-21.84;167.19;-3.37;5.94;-0.14
0;34.08;12.23;4.69;228.57;61.34;-15.02;-10.37;-242.37;-77.56;6.08;409.24;15.98;-10.29;146.6;16.23;59.63;2.92;7.84;-167.37;-17.52;132.62;0.72;4.2;-0.23
0;-86.62;-22.53;3.95;133.44;29.68;-15.51;-7.26;-251.01;-79.27;14.52;457.4;20.87;-12.62;89.54;9.89;81.58;4.09;8.65;-243.77;-20.82;140.84;-4.15;1.37;0.47
0;-119.06;-37.3;4.15;61.88;22.39;-17.15;-7.99;-220.76;-79.11;14.66;50.96;18.83;-13.26;42.54;-3.94;98.54;4.4;9;-269.92;-20.61;126.78;-6.38;0.63;0.65
0;-118.94;-29.14;3.95;57.37;18.87;-17.03;-8.39;-207.44;-75.15;15.47;26.44;19.21;-13.18;38.08;-15.45;102.65;4.4;9.03;-266.17;-20.43;158.41;-5.48;1.16;0.65
0;-127.7;-30.01;3.91;56.59;16.32;-17.49;-7.83;-222.76;-71.24;14.36;22.48;23.74;-13.21;10.38;-12.75;95.47;4.23;9.73;-226.54;-21.42;172.52;-5.6;1.48;0.4
0;-120.53;-22.75;3.77;53.62;24.48;-17.35;-10.02;-223.12;-73.78;18.06;36.05;27.52;-13.2;74.26;-18.14;110.94;5.26;9.68;-285.07;-21.08;157.34;-6.84;0.66;0.7
0;-120.06;-24.47;4.02;59;18.78;-15.46;-8;-233.75;-54.2;14.47;27.31;28.5;-13.23;57.16;-14.47;82.48;3.91;9.42;-202.13;-22.73;158.11;-7.04;1.63;0.82
0;-43.8;-9.55;4.14;168.87;33.81;-9.05;-3.76;-184.72;-54.59;13.44;432.39;24.36;-11.73;92.51;5.76;65.32;3.41;7.87;-165.36;-22.4;152.3;-5.25;4.18;0.68
0;-121.2;-18.76;4.14;60.41;28.75;-14.33;-6.58;-223.66;-72.86;15.34;99.66;14.68;-12.88;89.66;-10.95;85.11;4.5;7;-197.62;-22.01;167.47;-1.38;0.62;0.37
0;-53.78;-11.48;2.98;154.77;38.72;-15.68;-7.09;-206.28;-71.18;12.37;375.78;20.72;-11.34;110.97;10.38;68.92;3.68;9.29;-174.62;-20.12;130.46;-6.94;3.84;0.41
0;-43.51;-9.29;3.87;150.39;38.79;-6.04;-5.51;-179.97;-53.4;8.02;379.97;21.05;-11.17;135.06;12.54;66.85;2.78;7.42;-123.98;-18.72;169.31;-1.14;4.58;0.37
0;-75.75;-22.92;4.15;147.52;37.01;-12.81;-8.94;-239.98;-81.71;16.04;392.47;21.66;-12;111.47;-0.28;70.57;4.37;9.88;-229.3;-23.83;121.45;-4.4;2.85;0.6
0;-125.14;-25.65;3.18;66.49;18.21;-14.86;-7.98;-242.88;-69.95;12.7;39.56;17.92;-13.13;29.32;-7.55;68.18;4.04;8.33;-154.35;-18.86;115.05;-7.3;0.56;0.41
0;-123.57;-20.29;3.85;58.75;19.65;-15.67;-8.75;-229.57;-58.02;10.88;16.05;22.7;-13.32;63.22;-3.58;70.53;3.69;8.98;-194.88;-21.72;96.91;-5.84;0.36;0.39
0;-120.28;-20.96;3.94;66.42;25.15;-16.04;-7.57;-223.31;-60.2;15.39;76.79;21.16;-13.31;81.43;-12.44;81.92;4.46;7.61;-232.8;-19.42;110.39;-4.89;0.33;0.81
0;-122.75;-16.9;3.6;61.47;10.53;-10.41;-8.99;-219.94;-40.73;6.66;77.74;12.53;-13.05;7.66;-14.4;68.93;3.54;5.97;-199.01;-19.05;49.48;-5.31;0.47;0.44
0;-123.38;-12.51;3.75;55.17;26.2;-14.33;-7.46;-209.61;-63.3;13.9;41.27;24.79;-12.81;94.63;-21.25;108.19;4.15;9.07;-286.49;-21.01;113.89;-5.98;0.8;0.23
0;-31.7;-11.19;3.02;176.2;31.18;-9.81;-3.06;-181.12;-46.74;10.21;422;18.23;-11.34;81.84;11.45;58.41;2.63;7.11;-135.11;-18.62;121.57;-7.12;4.13;0.62
0;-41.37;-13.75;3.88;157.18;24.35;-8.6;-5.57;-185.99;-49.33;11.55;384.97;19.3;-11.24;94.41;12.91;53.8;2.92;7.92;-116.27;-20.58;113.79;-4.63;3.98;0.72
0;-123.85;-25.81;3.43;52.26;15.38;-18.84;-8.08;-215.33;-67.1;15.09;34.36;22.22;-12.83;6.21;-12.03;87.95;4.28;8.42;-229.96;-19.54;172;-6.91;0.94;0.58
0;-48.24;-13.06;3.57;162.3;34.62;-11.32;-5.22;-196.84;-66.31;14.83;418.39;17.38;-11.47;122.26;8.09;80.4;3.79;7.32;-203.24;-20.03;177.73;-6.49;3.39;0.68
0;-124.93;-23.03;3.96;56.78;21.92;-11.36;-6.86;-223.95;-66.91;17.58;7.46;20.12;-12.87;37.78;-12.41;82.38;4.57;8.06;-277.83;-20.89;129.64;-4.81;1.11;0.61
0;-124.43;-27.34;3.92;60.85;21.15;-16.68;-8.72;-234.45;-76.05;14.95;11.75;23.62;-12.82;20.55;-7.77;83.7;4.19;8.88;-266.87;-19.59;167.72;-3.42;1.06;0.49
0;-128.04;-26.96;3.81;55.26;16.89;-16.05;-6.69;-229.62;-65.5;15.04;4.66;23.46;-13.01;12.86;-2.64;71;3.91;8.85;-234.37;-19.9;134.78;-6.23;1.22;0.54
0;-115.67;-17.43;4.77;85.55;37.68;-16.01;-13.31;-241.05;-101.67;23.51;199.1;29.3;-12.55;96.19;-20.71;124.59;6.4;10.08;-383.93;-21.09;228.08;1.56;0.99;0.6
0;-124.48;-27.34;3.71;56.4;19.39;-20.27;-10.91;-225.79;-86.28;18.29;24.63;32.56;-12.93;16.48;-12.47;101.2;5.27;10.43;-310.94;-19.27;203.74;-5.12;0.82;0.54
0;-123.67;-24.05;4.04;58.77;20.96;-15.2;-8.81;-218.95;-81.97;17.65;49.81;24.53;-12.75;50.81;-14.27;93.35;5.03;8.75;-272.35;-21.12;171.39;-3.54;0.66;0.39
0;-126.31;-22.83;3.73;58.29;19.63;-12.38;-9.38;-238.42;-67.05;14;28.17;19.6;-13.12;23.7;-16.49;90.42;4.45;7.7;-264.51;-19.12;108.46;-6.01;0.46;0.5
0;-127.16;-30.21;3.6;57.11;14.75;-11.33;-8.45;-238.62;-60.9;13.07;20.02;17.89;-13.09;13.9;-11.25;85.39;3.93;7.86;-259.53;-20.88;95.93;-7.29;0.9;0.57
0;-128.62;-20.62;3.83;57.14;18.53;-9.79;-9.53;-239.74;-58.35;14.14;31.23;15.79;-13.15;30.21;-16.54;80.29;4.08;7.11;-215.06;-22.13;117.52;-6.29;0.31;0.32
0;-127.04;-20.52;3.59;54.21;17.74;-13.37;-12.35;-232.6;-56.7;13.24;7.29;21.52;-12.9;25.71;-13.06;87.83;4.1;8.35;-235.55;-20.42;82.08;-6.44;0.34;0.23
0;-127.17;-19.13;3.8;53.16;15.9;-12.39;-9.78;-223.89;-54.93;12.18;30.57;13.88;-13.13;24.35;-19.62;94.66;3.97;7.34;-249.32;-20.74;128.62;-7.06;0.91;0.3
0;-128.39;-20.53;4.1;54.26;22.35;-15.98;-9.8;-227.98;-76.04;17.89;-0.87;30.17;-12.82;32.53;-15.46;101.67;5.15;9.74;-297.3;-21.31;142.42;-4.19;1.24;0.42
0;-125.65;-30.71;3.75;62.9;22.69;-11.56;-5.16;-233.33;-83.57;16.42;25.31;23.78;-12.57;30.86;-10.07;82.75;4.1;8.09;-304.87;-19.98;102.59;-5.61;0.94;0.79
0;-130.17;-27.5;3.88;57.1;16.02;-15.04;-8.74;-247.52;-77.88;15.49;17.76;21.04;-12.76;-3.4;-19.99;94.89;4.44;8.92;-256.27;-22.68;177.85;-5.32;1.54;0.56
0;-125.35;-23.99;4.06;59.7;22.55;-17.1;-9.36;-243.55;-77.04;17.38;3.7;24.74;-12.92;53.7;-11.5;102.46;4.98;9.78;-262.25;-20.94;141.4;-4.18;1;0.17
0;-116.76;-18.33;4.54;65.83;27.52;-14.1;-8.36;-223.92;-58.65;12.25;107;19.26;-12.72;77.99;-10.01;93.34;3.88;8.19;-268.83;-20.73;112.32;1.23;0.49;0.26
0;-124.32;-25.6;3.71;58.61;19.91;-13.64;-9.35;-220.92;-67.45;16.49;22.75;19.7;-13.06;58.83;-9.83;94.7;5.03;8.14;-282.6;-19.26;152.64;-5.69;0.28;0.43
0;-122.3;-23.55;3.78;52.88;19.53;-18.3;-7.98;-200.32;-77.6;15.04;8.95;28.69;-13.17;24.93;-12.82;103;4.39;9.74;-290.68;-20.37;164.12;-5.79;0.73;0.4
0;-121.29;-23.04;4.5;62.82;29.46;-14.33;-8.77;-220.44;-76.2;16.76;78.76;22.35;-12.7;100.51;-18.87;102.72;4.9;8.08;-258.91;-22.28;154.56;-3.55;0.75;0.47
0;-125.07;-23.58;3.45;61.14;22.27;-13.05;-8.38;-222.19;-72.29;17.72;43.51;20.44;-12.81;59.42;-13.88;104.17;5.08;8.2;-284.73;-18.9;193.63;-5.37;0.85;0.58
0;-54.43;-19.76;3.47;151.59;30.6;-14.35;-5.46;-209.47;-64.19;13.28;386.72;22.55;-11.57;98.61;9.68;72.67;3.57;8.89;-230.78;-18.99;104.11;-6.37;3.28;0.57
0;-1.42;-7.1;4.88;175.3;52.71;-12.65;-5.04;-174.48;-86.72;8.41;369.94;25.28;-10.74;119.06;2.72;69.86;2.78;8.45;-204.07;-21.39;132.61;2.75;5.06;0.27
0;93.16;20.45;5.05;262.22;60.79;-11.46;-9.28;-240.03;-63.43;4.94;445.97;18.12;-9.63;112.36;18.34;68.84;3.09;8.33;-170.1;-19.29;87.33;0.77;5.39;-0.32
0;-120.3;-20.89;3.97;53.76;10.52;-14;-4.17;-219.82;-52.49;12.75;31.93;15.31;-12.93;5.79;-2.07;66.3;3.25;6.93;-200.39;-20.33;123.42;-7.11;-0.05;1.32
0;-93.78;-30.08;4.91;34.97;20.18;-15.09;-6.91;-160;-69.34;17.02;-0.03;30.88;-12.28;20.13;-14.69;95.15;4.82;9.91;-296.19;-25.2;104.35;-3;2.16;0.82
0;-104.55;-23.24;4.41;32.53;19.05;-15.37;-6.97;-159.81;-66.15;15.29;8.15;30.03;-12.42;30.26;3.18;91.3;4.26;9.74;-278.49;-20.66;131.37;-4.25;1.66;0.78
0;-96.24;-26.8;3.57;44.55;13.82;-10.68;-5.59;-205.31;-58.24;13.41;53.08;26.37;-12.14;-1.35;-4.75;91.04;3.99;8.77;-247.35;-18.93;127.79;-6.78;2.33;0.51
0;-102.64;-25.19;3.82;41.49;21.24;-17.11;-5.55;-194.19;-74.28;13.54;31.11;23.55;-12.13;29.1;-0.84;105.64;4.1;8.88;-319.11;-19.59;138.33;-5.85;1.18;0.87
0;-93.5;-28.14;4.2;36.03;21.3;-14.65;-5.13;-162.23;-73.65;15.49;24.12;29.58;-12.1;29.17;-9.09;101.68;4.34;9.74;-315.16;-22.48;115.64;-5.16;1.76;0.7
0;-97.58;-28.12;4.09;36.85;22.72;-14.03;-4.56;-202.19;-73.82;14.07;10.7;29.04;-12.16;37.53;-7.29;103.94;4.07;9.44;-330.83;-20.47;96.41;-6;1.92;0.72
0;-108.47;-24.58;3.94;47.2;23.4;-15.18;-5.46;-234.04;-74.26;13.54;46.29;24.68;-12.11;38.35;-1.65;99.75;4.14;8.5;-308.63;-22.63;154.95;-5.56;2.23;0.96
0;-7.29;-14.11;4.69;170.95;33.94;-12.3;-5.14;-194.11;-79.47;15.24;387.58;23.27;-11.14;55.98;-11.13;86.51;4.52;8.94;-260.5;-19.91;134.43;-2.95;5.46;0.02
0;35.68;9.51;5.13;220.7;45.22;-12.77;-10.53;-221.14;-60.59;7.97;371.22;16.88;-10.36;133.28;21.42;115.15;3.36;7.46;-324.6;-21.04;167.66;-0.17;4.04;-0.08
0;-59.24;-18.18;4.06;156.22;34.33;-8.61;-9.22;-233.64;-64.2;15.71;383.11;27.01;-11.85;94.83;0.74;68.07;4.26;8.15;-246.14;-20.56;101.48;-1.76;2.92;0.59
0;-127.27;-25.55;3.85;57.83;18.51;-13.43;-7.09;-227.5;-77.17;15.71;36.45;22.13;-13.01;27.55;-13.46;100.35;4.32;8.02;-309.11;-21.51;148.54;-5.57;0.7;0.76
0;-22.48;-15.93;4.72;160.03;30.33;-15.67;-5.7;-197.94;-65.35;13.02;366.84;31.05;-11.24;55.56;-0.45;84.88;3.38;9.69;-295.07;-20.68;110.25;-1.53;4.33;0.36
0;-126.66;-22.43;3.86;54.36;19.47;-15.54;-7.38;-232.03;-73.02;17.72;1.08;26;-13;34;-19.23;88.19;4.33;9.16;-272.48;-21.87;113.01;-5.21;1.11;0.71
0;-128.38;-24.83;4.34;52.2;19.13;-12.72;-8.44;-227.76;-71.49;14.02;-40.77;30.18;-12.9;25.32;-13.22;65.09;3.81;8.88;-232.32;-23.31;59.05;-4.76;1.33;0.41
0;-33.72;-15.58;4.9;163.69;32.02;-18.69;-6.05;-229.75;-70.62;16.83;388.81;25.41;-11.6;71.05;5.11;89.27;4.27;9.07;-339.52;-21.06;106.9;-3.14;3.6;0.47
0;-124.49;-33.19;3.84;55.24;18.33;-12.08;-7.2;-244.96;-80.47;13.8;-15.57;24.67;-12.61;16.16;-13.05;87.4;3.89;8.67;-263.9;-21.71;77.25;-3.77;0.74;0.51
0;-128.41;-29.67;4.11;57.66;19.17;-14.16;-7.19;-245.48;-73.45;16.62;-9.4;24.94;-13.01;20.03;-15.21;93.32;4.57;8.86;-277.07;-22.51;141.4;-4.12;0.98;0.77
0;-130.24;-29.06;4.26;65.26;21.91;-14.43;-9.31;-271.38;-83.72;18.26;4.48;23.38;-12.91;28.43;-18.15;110.9;5.52;8.59;-342.69;-20.6;120.25;-4.39;-0.03;0.65
0;-124.32;-30.18;5.52;67.64;23.5;-12.27;-11.12;-253.72;-86.08;19.32;0.73;30.39;-13;18.5;1.49;93.72;5.25;9.94;-303.93;-28.98;148.73;2.45;0.58;0.46
0;-119.99;-32.03;3.76;58.92;20.42;-12.66;-6.83;-241.32;-85.61;12.55;32.19;31.25;-12.48;9.18;3.27;92;3.63;9.39;-324.21;-21.24;135.5;-2.41;1.05;0.61
0;-118.83;-29.16;5.62;61.47;23.19;-17.2;-8.88;-249.2;-102.44;16.2;-23.06;30.11;-13;8.07;-2.32;105.31;4.53;10;-341.53;-27.04;167.99;1.94;0.36;0.6
0;-123.04;-33.09;4.11;63.11;12.81;-15.47;-5.58;-238.59;-65.84;10.76;39.47;24.72;-13.19;-5.49;5.46;81.99;3.49;9.16;-253.4;-19.81;147.49;-6.38;0.54;0.24
0;-123.9;-36.7;3.28;59.63;10.71;-9.29;-9.06;-219.98;-58.76;13.26;28.17;21.35;-12.71;-9.51;4.86;71.34;4.36;7.27;-187.64;-19.27;116.62;-4.43;0.41;0.47
