label;gyro_z_avg;gyro_x_avg;acc_y_stdev;gyro_z_stdev;gyro_x_stdev;acc_x_min;acc_z_min;gyro_z_min;gyro_x_min;acc_z_max;gyro_z_max;acc_x_max;acc_y_avg;gyro_x_max;gyro_y_avg;gyro_y_stdev;acc_z_stdev;acc_x_stdev;gyro_y_min;acc_y_min;gyro_y_max;acc_y_max;acc_x_avg;acc_z_avg
0;-116.36;-23.7;5.09;57.3;17.98;-13.64;-12.07;-233.9;-52.65;14.11;-25.23;18.64;-13.06;37.14;-19.45;92.31;5.29;7.59;-242.52;-26.95;65.12;-4.77;0.55;-0.24
0;-112.89;-23.64;5.2;63.7;22.35;-12.7;-11.52;-242.13;-65.21;10.79;49.1;22.58;-12.7;40.18;-15.25;103.93;4.96;7.99;-250.45;-27.23;131.29;-4.53;1.05;-0.58
0;-119.44;-16.55;5.12;56.67;25.2;-10.75;-13.5;-242.22;-49.05;13.16;-35.23;16.99;-13.24;63.67;-21.7;114.64;5.39;6.92;-304.06;-28.32;106;-6.68;0.43;-0.12
0;-117.69;-23.43;5.08;62.7;21.85;-14.26;-12.56;-242.93;-53;13.65;35.92;20.55;-13.15;51.69;-20.88;102.22;5.62;8.18;-257.37;-27.5;93.34;-4.88;0.56;-0.33
0;-112.79;-22.05;5.56;69.64;32.25;-16.87;-13.66;-240.62;-58.98;10.75;98.72;23.86;-12.74;82.87;-13.01;104.72;5.64;8.69;-244.85;-28.09;94.19;-1.99;1.15;-0.62
0;-115.94;-19.12;5.38;61.53;24.27;-15;-14.7;-246.32;-46.35;9.24;30.95;17.21;-13.03;67.42;-15.28;94.72;5.23;7.69;-275.65;-28.71;53.96;-2.68;0.83;-0.55
0;-116.26;-26.9;5.27;64.09;20.17;-14.88;-12.15;-239.55;-61.56;12;39.5;22.29;-13.11;42.41;-17.03;96.86;5.18;8.55;-247.04;-27.14;102.97;-2.94;0.78;-0.38
0;-115.82;-25.95;5.19;59.51;17.19;-13.3;-10.13;-236.1;-56.84;13.79;-19.52;20.18;-13.06;16.22;-14.9;100.02;4.91;7.76;-258.69;-25.87;116.33;-2.73;0.77;-0.23
0;-115.75;-18.64;5.43;64.02;24.65;-11.74;-13.58;-241.13;-55.56;11.74;45.16;20.65;-13.13;57.8;-18.63;102.38;5.25;7.77;-249.56;-27.26;102.03;-2.01;1.14;-0.38
0;-31.54;-15.34;4.28;152.16;37.12;-11.59;-8.32;-196.2;-58.51;12.35;358.81;19.24;-10.94;117.7;11.82;83.41;4.2;7.52;-241.33;-24.34;141.57;-1.93;3.85;-0.34
0;-118.12;-26.54;4.69;58.17;19.99;-12.41;-12.13;-237.42;-64.9;13.26;-30.76;18.52;-13.15;37.66;-14.12;96.16;5.07;6.77;-257.66;-25.36;76.69;-6.45;0.47;0.15
0;-121.31;-21.63;5.28;55.55;20.6;-10.96;-12.62;-238.11;-66.19;12.62;-59.25;22.73;-13.21;45.2;-16.6;107.49;5.45;7.73;-265.02;-29.39;130.71;-5.15;0.43;0.01
0;-116.87;-27.95;5.47;63.87;21.08;-13.36;-10.83;-242.42;-65.12;11.79;38.18;25.77;-12.89;33.54;-14.55;102.47;4.97;8.71;-283.96;-26.89;135.11;-3.18;1.08;-0.36
0;-120.17;-24.76;5.1;55.33;14.67;-12.8;-10.59;-228.66;-55.73;12.04;-56.84;22.47;-13.28;18.96;-20.14;103.94;4.52;7.64;-279.61;-26.85;112.91;-4.25;0.41;-0.01
0;-121.85;-26.37;5.21;55.26;15.35;-15.06;-10.3;-231.68;-57.34;14.98;-31.95;19.16;-13.51;17.91;-18.45;100.1;5.11;7.51;-275.1;-27.73;101.16;-6.25;0.13;0.3
0;-116.04;-20.94;5.28;66.32;23.18;-16.37;-12.12;-243.59;-60.52;11.13;80.75;21.46;-12.79;51.2;-15.92;104.18;4.92;8.51;-272.28;-26.66;111.57;-3.45;1.12;-0.32
0;-118.8;-23.31;5.76;66.13;21.92;-15.13;-12.72;-241.4;-52.53;12.65;66.23;20.06;-13.46;58.79;-21.63;101.01;5.18;8.33;-279.31;-30.03;96.18;-4.25;1.02;-0.09
0;-114.31;-23.49;6.22;76.74;33.79;-14.64;-14.86;-246.42;-63.51;13.35;127.02;25.73;-12.93;80.23;-12.54;105.13;5.56;9.19;-267.7;-30.13;96.33;-0.76;1.34;-0.31
0;-113.42;-24.64;5.71;75.33;20.8;-15.77;-11.59;-251.47;-61.4;13.02;117.21;22.68;-12.99;41.96;-13.22;105.7;5.23;8.63;-262.86;-26.79;106.69;-1.95;1.17;-0.3
0;-114.55;-23.23;5.77;78.97;28.01;-13.66;-13.06;-255.52;-57.52;14.31;133.49;20.58;-13.13;66.23;-12.59;98.97;5.73;8.27;-231.6;-27.33;97.01;-1.24;1.22;-0.25
0;-119.24;-20.98;5.97;66.05;27.39;-14.13;-11.33;-246.05;-51.62;12.44;62.38;20.83;-13.46;68.56;-18.28;102.74;4.97;8.63;-276.27;-28.65;82.89;-3.88;0.56;-0.09
0;-106.8;-26.47;5.93;86.75;32.26;-14.26;-13.98;-252.99;-79.17;15.12;169.9;27.06;-12.67;68.59;-8.25;122.44;5.88;9.82;-328.62;-25.92;121.51;0.67;1.43;-0.33
0;-121.07;-21.64;5.24;64.25;22.37;-14.01;-11.74;-247.23;-59.55;12.35;61.91;19.25;-13.34;44.78;-14.76;105.71;5.11;8.09;-280.98;-27.84;96.87;-5.86;0.98;-0.12
0;-117.53;-25.3;5.83;70.39;26.3;-14.26;-12.49;-247.19;-63.75;15.02;94.56;22.49;-13.31;64.03;-16.74;100.99;5.51;8.76;-254.73;-28.19;96.76;-4.1;0.79;0.07
0;-117.65;-24.49;5.77;69.1;24.42;-12.86;-12.4;-248.86;-56.32;14.28;84.01;21.35;-13.4;53.26;-16.6;104.83;5.5;8.4;-269.13;-28.01;125.65;-4.51;0.94;0
0;-115.89;-22.27;5.69;71.07;19;-13.77;-11.96;-252.15;-51.11;14.78;90.11;19.95;-13.13;38.56;-15.95;100.21;5.39;8.35;-252.7;-27.89;104.08;-3.71;0.97;-0.23
0;-112.06;-26.54;5.51;75.98;26.05;-14.59;-11.7;-247.44;-60.59;12.2;121.59;18.53;-12.84;58.6;-8.07;96.69;4.98;7.95;-238.84;-27.53;111.29;-2.55;1.28;-0.02
0;-118.76;-23.02;5.65;63.61;23.7;-12.57;-13.23;-243.52;-53.03;13.34;53.35;21.49;-13.38;52.24;-18.94;107.79;5.48;8.58;-296.15;-27.77;95.93;-2.99;1.02;-0.28
0;-115.51;-25.29;6.1;75.38;23.88;-15.26;-13.3;-253.71;-75.93;14.72;116.53;26.95;-13.22;43.72;-12.9;123.89;5.44;10.15;-317.2;-28.69;134.48;-2.14;1.16;-0.33
0;-124.07;-25.89;5.36;62.92;21.38;-13.15;-11.79;-252.29;-65.4;15.83;-10.57;23.87;-13.63;33.53;-24.38;104.94;5.37;8.65;-290;-27.63;121.46;-5.17;0.66;-0.01
0;-121.85;-23.59;5.68;63.33;19.6;-16.04;-10.46;-238.15;-66.12;13.7;25;26.95;-13.42;34.53;-16.04;108.31;5.17;9.58;-297.97;-27.8;141.41;-3.71;0.58;-0.22
0;-113.39;-20.73;5.92;79.14;29.79;-13.64;-14.54;-256.36;-60.76;13.53;134.74;28.29;-13.02;76.29;-13.93;115.98;5.71;9.89;-292.26;-27.39;139.14;-1.47;1.14;-0.28
0;-113.47;-25.01;6.01;78.85;24.75;-13.33;-12.03;-249.39;-71.15;13.99;135.49;25.61;-13.07;50.69;-15.79;120.26;5.42;9.48;-302.84;-28.22;140.57;-1.61;1.14;-0.16
0;-32.88;-12.54;4.26;159.36;34.84;-9.11;-7.85;-209.14;-67.74;13.55;374.83;19.12;-11.24;110.51;16.9;82.73;4.09;7.32;-207.92;-25.5;148.97;-2.5;3.7;-0.06
0;-121.28;-21.78;5.77;65.39;22.31;-13.63;-13.34;-244.36;-57.94;14.25;56.8;22.68;-13.6;50.36;-20.23;120.91;5.57;9.38;-319.78;-29.83;130.43;-5.58;0.82;-0.4
0;-122.98;-26.88;5.85;63.41;22.3;-14.58;-13.46;-249.63;-60.7;14.71;20.14;24.66;-13.72;47.37;-20.08;115.02;5.6;9.65;-293.22;-28.13;132.73;-1.24;0.72;-0.29
0;-115.63;-22.54;6.01;73.29;27.25;-13.72;-14.09;-247.69;-57.49;11.25;109.13;25.35;-13.04;63.16;-13.96;108.53;5.41;9.33;-289.46;-29.14;120.45;-1.16;1.52;-0.37
0;-113.29;-21.86;6.27;77.21;22.22;-12.92;-10.83;-252.58;-49.39;13.57;117.21;20.58;-12.98;53.56;-11.5;98.68;5.14;8.27;-256.52;-28.95;113.83;-2.97;1.47;-0.1
0;-115.65;-21.8;5.68;69.56;21.52;-14.01;-11.04;-242.34;-54.52;11.96;93.11;24.15;-13.2;47.53;-17.61;117.62;5.02;9.19;-298.79;-27.93;142.11;-2.68;1.46;-0.28
0;-112.74;-25.48;6.03;78.8;22.44;-13.7;-10;-253.77;-57.46;11.94;126.08;25.4;-13.19;48.72;-12.27;109.06;4.66;9.14;-278.41;-28.96;118.49;-2.84;1.3;-0.08
0;-115.55;-18.13;5.68;70.46;26.91;-11.91;-11.9;-245.56;-61.23;13.3;94.93;21.86;-13.31;63.37;-14.25;124.39;5.31;9.03;-315.92;-29.19;147.94;-4.16;1.24;-0.33
0;-116.77;-23.71;5.75;71.25;19.93;-13.13;-11.22;-243.43;-54.42;13.61;97.83;23.02;-13.35;40.91;-11.44;108.12;5.04;8.59;-260.45;-27.46;140.08;-2.01;1.21;-0.07
0;-109.78;-19.52;6.45;81.02;29.02;-13.87;-13.15;-248.14;-62.93;11.24;138.02;28.57;-12.63;67.86;-13.14;107.05;5.15;9.78;-286.33;-29.3;102.24;-0.73;1.83;-0.48
0;-121.47;-22.89;5.39;64.43;17.9;-13.19;-11.8;-249.7;-57.18;13.37;28.19;20.53;-13.62;30.53;-18.87;105.27;4.94;8.5;-286.2;-26.99;96.64;-5.09;0.54;-0.21
0;-117.6;-22.67;5.61;64.6;21.1;-12.56;-12.11;-240.3;-55.38;15.28;40.66;20.07;-13.43;36.84;-19.14;112.24;5.5;8.47;-303.25;-28.7;98.45;-3.03;1.07;-0.31
0;-116.07;-20.5;5.88;72.76;30.77;-12.17;-14.97;-249.72;-66.11;13.66;96.77;25.64;-13.3;85.53;-13.49;112.88;5.59;9.28;-285.49;-28.59;115.27;-2.91;1.33;-0.5
0;-113.74;-19.95;5.99;76.94;24.08;-11.34;-11.91;-251.16;-53.14;10.43;117.09;25.78;-12.73;60.75;-8.42;106.72;4.99;9.18;-280.39;-28.57;121.91;-1.41;1.19;-0.54
0;-118.18;-25.52;5.39;67.34;18.7;-11.69;-11.35;-253.51;-60.53;12.29;36.63;22.24;-13.4;21.92;-13.86;114.21;5.11;8.5;-285.75;-28.3;122.09;-6.44;1.11;-0.22
0;-123.98;-21.72;6.08;63.59;19.21;-15.56;-13.05;-250.57;-54.78;17.49;-39.34;25.27;-13.65;34.49;-26.57;117.64;6.01;9.2;-332.32;-28.98;113.37;0.19;0.48;-0.1
0;-115;-25.16;6.44;83.19;28.13;-13.81;-14.52;-260.99;-70.65;14.36;140.43;25.43;-13.06;58.99;-12.38;116.65;6.08;9.95;-293.75;-28.61;134.41;0.15;1.24;-0.34
0;-122.81;-22.93;5.86;64.75;21.35;-13.19;-12.03;-250.5;-62.37;13.58;38.46;19.47;-13.62;43.62;-22.72;108.7;5.45;8.78;-307.63;-29.55;89.37;-2.22;0.9;-0.19
0;-111.82;-20.38;6.14;80.87;30.85;-14.23;-14.43;-257.62;-61.07;12.53;132.53;29.26;-13;75.82;-7.92;119.88;5.84;10.3;-303.03;-29.46;122.11;-0.52;1.88;-0.73
0;-114.4;-21.93;5.74;81.21;29.09;-15.63;-13.39;-254.95;-64.76;15.69;131.38;23.67;-13.14;72.14;-13.95;119.73;5.91;9.85;-289.77;-27.49;132.46;-1.77;1.15;-0.31
0;-117.07;-25.39;5.95;75.53;24.78;-15.39;-13.75;-259.03;-71.53;12.81;109.72;31.18;-13.33;56.92;-16.22;128.12;5.68;10.86;-331.4;-28.04;165.13;-2.56;1.33;-0.34
0;-113.68;-22.03;6.17;84.9;28.83;-15.8;-12.61;-253.73;-57.23;13.9;142.84;24.26;-13.06;69.29;-11.97;104.99;5.51;9.45;-266.87;-28.55;92.79;-0.74;1.26;-0.31
0;-115.36;-15.61;6.57;83.62;33.82;-12.92;-14.65;-254.65;-59.87;13.05;136.98;21.11;-13.12;86.13;-15.41;98.56;5.52;9.05;-269.59;-28.94;79.03;0.35;1.32;-0.21
0;-121.69;-18.94;6.35;74.98;28.01;-15.39;-12.4;-257.38;-59.38;12.87;99.98;24.93;-13.6;77.94;-17.78;107.29;5.15;9.86;-292.04;-29.25;101.97;-0.29;0.75;-0.4
0;-112.79;-17.69;6.16;83.07;27.45;-15.42;-11.56;-257.08;-49.43;12.11;135.52;23.38;-12.81;70.78;-11.68;100.36;4.92;9.28;-278.94;-28.95;87.41;-0.53;1.31;-0.4
0;-108.54;-22.29;6.35;87.37;28.02;-13.21;-12.77;-261.2;-52.07;11.78;151.64;25.11;-12.83;66.88;-8.34;107.54;5.07;9.35;-288.91;-28.62;136.93;-0.14;1.48;-0.35
0;-111.35;-20;6.31;88.48;26.87;-13.54;-12.52;-265.14;-51.56;13.36;155.64;21.61;-13.03;62.58;-8.42;104.13;4.95;8.84;-265.08;-29.54;131.66;0.27;1.35;-0.3
0;-116.27;-24.05;6.09;78.78;21.71;-15.2;-12.85;-250.83;-58.76;14.41;119.92;23.63;-13.34;48.53;-9.72;112.44;5.33;9.21;-270.49;-28.4;148.7;-1.9;1.25;-0.09
0;-113.17;-22.61;6.38;88.15;25.17;-15.58;-12.05;-259.56;-70.64;17.01;160.64;23.75;-13.08;50.74;-12.65;113.38;5.93;9.52;-272.09;-29.5;125.45;1.4;1.2;-0.01
0;-113.06;-21.63;6.56;88.89;31.23;-13.82;-13.16;-261.04;-63.51;13.4;159.35;22.19;-12.77;65.74;-7.91;116.72;5.04;9.59;-302.76;-31.39;121.99;-0.15;1.77;-0.4
0;-122.19;-19.55;5.62;73.52;30.53;-13.55;-13.35;-262.46;-61.59;13.45;98.55;19.46;-13.72;91.91;-20.6;101.97;5.14;8.67;-281.66;-28.39;88.44;-5.12;0.82;-0.24
0;-16.56;-10.56;5.64;179.68;52.78;-10.62;-7.52;-202.44;-78.55;14.16;402.19;20.68;-10.77;151.56;25.33;87.46;4.41;8.24;-248.67;-27.7;192.24;1;4.51;-0.63
0;-117.91;-24.54;5.97;75.86;19.15;-12.07;-10.81;-257.89;-51.69;12.36;105.55;22.52;-13.37;40.59;-9.7;98.51;4.78;8.46;-239.41;-28.52;81.1;-2.08;1.22;-0.13
0;-116.26;-20.38;6.27;77.95;26.83;-12.65;-12.13;-255.55;-60.05;15.25;117.48;20.08;-13.45;66.74;-11.64;103.44;5.44;8.62;-277.9;-30.63;127.67;-1.81;1.6;-0.21
0;-118.05;-26.66;6.14;77.58;22.24;-14.04;-12.05;-261.32;-64;12.84;115.7;25.93;-13.34;45.72;-17.68;114.67;5.27;10.17;-308.6;-28.94;167.08;-1.8;1.43;-0.2
