label;gyro_z_avg;gyro_x_avg;acc_y_stdev;gyro_z_stdev;gyro_x_stdev;acc_x_min;acc_z_min;gyro_z_min;gyro_x_min;acc_z_max;gyro_z_max;acc_x_max;acc_y_avg;gyro_x_max;gyro_y_avg;gyro_y_stdev;acc_z_stdev;acc_x_stdev;gyro_y_min;acc_y_min;gyro_y_max;acc_y_max;acc_x_avg;acc_z_avg;stride_check
0;125.32;-73.91;3.39;183.97;66.05;-0.53;-8.56;-141.63;-151.01;4.35;326.37;13.12;-12.52;22.05;-21.55;102.01;2.98;3.53;-230.34;-17.65;109.48;-7.2;3.89;1.81;0
0;-89.01;18.08;6.49;32.5;10.95;-6.96;-7.65;-139.93;-21.27;13.4;-49.32;15.26;-13.37;29.17;-4.61;55.99;5.76;5.93;-101.66;-30.12;53.32;-9.12;2.2;0.19;1
0;13.43;-9.31;3.82;160.07;75.79;-9.43;-9.5;-162.01;-147.15;6.01;308.76;12.52;-10.35;95.28;2.24;85.08;3.05;5.1;-242.58;-18.44;157.54;-1.32;0.49;0.09;0
0;-50.12;17.5;5.01;110.88;51.05;-10.94;-6.72;-164.21;-112.54;13.22;317.26;11.36;-10.93;98.54;6.67;56.48;3.75;5.25;-123.1;-30.54;122.91;-0.24;-0.07;-0.16;1
0;176.18;-80.82;4.74;218.44;68.68;0.57;-3.47;-192.8;-152.92;4.57;377.43;10.19;-12.72;33.77;-8.13;81.7;2.09;2.61;-184.15;-23.96;115.58;-6.16;4.67;2.01;0
0;-92.74;14.08;5.53;43.18;12.96;-5.13;-17.33;-160.27;-2.63;9.54;-43.33;17.67;-11.69;44.36;-28.76;81.62;6.57;6.28;-177.09;-25.6;93.11;-3.46;3.74;-0.56;1
0;27.01;-3.51;4.49;181.06;78.44;-11.07;-8.21;-183.23;-150.12;7.48;352.16;14.16;-10.64;110.1;15.56;79.47;3.32;6.15;-189.3;-20.43;177.13;0.35;0.19;0.28;0
0;-81.41;27.22;4.23;54.65;37.86;-11.87;-7.59;-163.29;-70.45;9.98;98.15;17.03;-11.31;110.81;5.08;71.82;3.42;5.57;-216.23;-28.85;99.5;-1.2;-0.34;-1.02;1
0;193.58;-82.14;4.29;175.57;56.7;-2.93;0.74;-163.32;-150.78;5.2;364.76;9.79;-10.49;33.22;-8.23;76.53;1.3;3.5;-213.14;-20.3;106.86;-4.28;3.47;2.62;0
0;-103.42;36.58;3.96;46.95;36.64;-12.59;-8.8;-190.76;-29.02;4.97;-41.22;11.91;-12.28;111.19;12.38;65.32;2.63;6.14;-234.67;-28.49;82.51;-6.39;-1.73;-1.17;1
