label;gyro_z_avg;gyro_x_avg;acc_y_stdev;gyro_z_stdev;gyro_x_stdev;acc_x_min;acc_z_min;gyro_z_min;gyro_x_min;acc_z_max;gyro_z_max;acc_x_max;acc_y_avg;gyro_x_max;gyro_y_avg;gyro_y_stdev;acc_z_stdev;acc_x_stdev;gyro_y_min;acc_y_min;gyro_y_max;acc_y_max;acc_x_avg;acc_z_avg;stride_check
2;-94.63;41.44;6.97;87.27;33.83;-14.06;-8.03;-237.15;2.92;10.88;12.32;24.91;-10.36;109.64;-3.18;83.84;3.48;9.3;-190.02;-21.82;93.46;4.92;2.57;0.58;1
2;94;-67.02;6.9;201.3;103.81;-7.78;-9.47;-271.3;-224.43;8.77;343.23;16.51;-8.36;83.98;9.07;89.45;4.36;4.96;-192.62;-35.16;162.79;-0.39;5.73;1.56;1
2;-93.31;34.77;6.76;88.61;31.31;-9.03;-5.29;-232.48;-9.37;7.43;16.55;30.01;-10.37;94.16;14.81;71.91;3.24;8.97;-198.87;-26.81;103.03;3.55;2.6;0.05;1
2;93.63;-61.08;6.06;205.54;98.41;-11.35;-8.64;-297.97;-199.53;9;355.97;13.05;-8.99;99.27;-10.53;55.71;3.99;4.81;-144.79;-32.74;67.17;-2.06;5.36;2.34;1
2;-101.15;38.83;6.59;86.9;29.56;-14.64;-5.07;-231.59;4.74;7.54;16.94;32.71;-11.17;100.25;-0.08;76.19;3.3;9.92;-243.57;-26.45;99.84;2.63;2.43;0.27;1
2;77.62;-64.48;6.99;204.49;101.32;-2.01;-23.61;-355.83;-216.28;8.48;333.95;20.72;-7.46;106.75;-14.24;87.96;6.58;4.47;-313.18;-29.68;105.84;0.56;6.4;1.4;1
2;-89.77;35.32;5.82;88;34.29;-12.64;-6.14;-241.09;-8.79;27.69;16.54;32.59;-10.76;114.52;17.17;115.24;7.07;10.41;-269.3;-21.18;171.28;-1.08;2.47;1.1;1
2;114.43;-43.5;5.79;199.74;88.32;-3.99;-7.42;-216.63;-175.2;9.87;363.91;15.97;-7.68;87.37;10.5;78.95;5.51;5.25;-149.54;-18.75;176.17;-0.34;5.92;2.81;1
2;-98.88;28.24;9.18;95.21;38.11;-13.09;-21.6;-277.19;-48.85;17.89;33.46;25.56;-10.68;120.84;1.65;100.91;6.28;9.28;-256.25;-35.43;170.33;9.26;2.97;-0.6;1
2;81.86;-28.81;7.82;224.82;99.61;-17.41;-18.64;-359.27;-179.48;7.77;366.99;18.18;-9.26;117.95;-5.93;42.4;5.3;5.63;-114.95;-37.26;64.88;-1.12;5.44;1.45;1
2;-89.8;32.26;7.76;93.81;31.93;-15.01;-5.97;-235.12;-8.39;15.33;28.43;33.2;-9.31;105.21;8.28;87.37;5.3;11.72;-215.21;-21.37;140.05;9.82;2.59;0.13;1
2;82.06;-50.27;8.43;241.08;110.4;-12.26;-23.26;-334.85;-216.85;12.58;405.54;21.8;-9.77;105.97;-11.67;80.59;7.38;6;-186.95;-34.58;110.27;-2.08;5.63;1.92;1
2;-88.6;35.78;8.42;103.19;40.38;-16.25;-8.04;-241.12;-16.26;14.76;50.35;23.61;-9.2;111.28;11.42;91.67;4.97;10.88;-227.06;-23.79;142.44;8.68;1.84;0.01;1
2;100.09;-48.84;7.15;223.76;94.04;-4.4;-22.62;-388.09;-180.59;10.96;387.88;29.34;-9.53;112.18;-19.28;57.87;7.31;6.3;-128.93;-33.99;111.81;-1.5;6.41;1.88;1
2;-78.51;24.02;9.81;116.74;39.14;-20.37;-9.71;-287.92;-21.11;15.29;74.36;29.5;-9.6;114.36;21.33;102.44;6.59;13.06;-273.31;-26.79;144.15;14.26;2.3;0.53;1
2;51.66;-21.42;6.51;228.82;97.78;-4.57;-25.88;-328.6;-158.61;11.01;370.41;20.51;-8.57;129.41;-5.21;87.73;6.81;5.33;-215.65;-36.63;122.65;-1.78;5.5;1.41;1
2;-87.49;46.18;8.51;91.39;44.35;-16.5;-6.35;-229.59;-10.3;21.93;39.74;34.09;-9.71;138.18;20.47;99.56;5.6;11.11;-224.61;-24.81;174.43;10.17;1.82;-0.05;1
2;90.64;-40.93;8.37;223.65;93.59;-1.93;-22.48;-308.93;-156.55;10.9;386.9;18.43;-7.81;129.59;-19.22;83.11;6.36;4.54;-185.59;-35.19;163.28;1.57;6.34;1.44;1
2;-94.61;34.76;7.34;89.87;40.35;-14.24;-4.74;-236.6;-11.62;16.3;12.87;22.89;-10.17;114.56;30.14;94.05;4.79;10.47;-168.38;-22.01;169.46;5.3;2.72;0.75;1
2;88.16;-39.08;7.74;219.09;96.25;-16.64;-16.08;-367.61;-173.32;9.42;367.64;19.44;-8.86;118.55;-6.74;68.16;5.4;6.4;-111.03;-34.21;181.55;1.13;5.57;1.38;1
2;-90.49;34.73;9.93;106.04;43.33;-12.79;-5.3;-248.41;-19.26;17.1;39.67;29.81;-9.51;125.88;16.57;104.28;5.61;11.85;-227.1;-29.29;171.68;16.09;2.78;0.35;1
2;74.38;-54;7.2;205.7;97.37;-1.78;-25.63;-340.42;-196.02;8.52;358.23;22.16;-8.82;107.95;-16.19;77.51;6.87;4.94;-210.78;-33.52;166.11;-0.15;5.48;1.55;1
2;-83.32;35.21;6.74;92.68;34.65;-20.4;-7.37;-235.94;-7.35;22.12;35.75;27.54;-9.94;115.58;24.79;100.25;6.31;11.31;-233.41;-22.07;154.84;2.76;2.06;0.59;1
2;72.83;-33.86;6.33;210;99.54;-7.07;-15.29;-340.18;-194.98;9.39;348.46;19.31;-9.47;121.73;-16.88;78.2;5.35;5.55;-168.29;-34.64;183.44;-2.8;5.57;1.52;1
2;-105.73;36.9;9.02;108.1;39.8;-15.88;-7.02;-279.82;-9.59;11.61;46.79;34.08;-10.07;125.59;34.18;87.48;4.24;11.63;-207.88;-26.04;182.18;12.87;2.57;0.18;1
2;92.82;-45.71;6.35;218.3;87.46;-7.12;-25.77;-389.74;-150.37;9.86;369.97;27.26;-8.41;124.35;-23.45;99.06;7;6.83;-193.58;-31.18;165.99;-2.34;6.91;1.51;1
2;-85;36.9;6.56;97.81;42.18;-11.7;-6.48;-253.18;-8.04;33.08;31.57;39.67;-10.65;130.04;22.62;122.92;8.63;12.44;-345.87;-20.89;176.84;2.24;1.82;1.11;1
2;57.37;-37.81;7.96;222.71;113.6;-5.7;-24.8;-384.33;-224.24;14.2;343.51;16.98;-8.4;135.8;-11.02;88.94;7.33;6.15;-249.97;-35.92;162.97;1.29;5.49;1.53;1
2;-102.84;38.86;6.64;107.26;43.64;-13.77;-9.52;-255.83;-8.29;28.66;35.41;35.03;-10.64;151.16;43.71;107.67;6.91;11.59;-285.14;-22.24;175.16;3.91;2.02;0.36;1
2;86.99;-43.98;6.83;202.03;102.2;-6.37;-13.19;-268.97;-195.2;8.54;357.99;14.06;-8.72;130.13;-33.44;71.8;4.24;4;-254.89;-35.91;118.8;-1.56;5.89;2.5;1
2;-95.93;33.78;8.07;93.44;36.98;-14.74;-6.61;-233.57;-8.48;11.17;23.75;20.78;-10.04;109.2;39.82;78.93;4.16;11.4;-112.05;-23.41;174.33;6.98;2.44;-0.28;1
2;69.27;-42.52;6.81;204.49;106.4;-5.68;-21.52;-303.47;-220.53;8.58;332.65;15.95;-8.43;127.36;-24.54;94.68;7.03;4.89;-235.83;-33.9;207.4;-1.65;5.28;1.79;1
2;-115.96;44.44;7.77;106.51;50.38;-13.52;-8.6;-278.17;-10.67;20.9;18.98;25.09;-11.22;135.89;32.29;84.52;5.8;10.83;-145.95;-25.04;186.36;7.43;2.92;0.89;1
2;79.4;-75.09;9.22;223.95;134.6;-2.34;-23.85;-336.65;-287;11.02;380.4;17.56;-7.86;127.39;-25.9;104.47;6.68;5.43;-261.98;-33.16;146.83;3.42;4.93;1.93;1
2;-93.22;35.31;8.24;97.91;39.48;-12.79;-7.5;-235.78;-8.55;21.6;31.7;23.73;-10.14;130.95;32.52;81.71;6.18;11.5;-165.77;-25.03;160.3;10.05;2.61;0.34;1
2;71.7;-41.05;6.93;209.07;103.09;-6.65;-23.46;-326.24;-205.36;9.52;332.32;12.49;-8.8;112.36;-29.15;67.23;7.63;4.18;-199.29;-32.48;94.85;-0.67;5.21;1.68;1
2;-90.35;36.02;7.86;88.54;40.16;-15.31;-5.62;-238.11;-16.33;21.14;30.97;24.8;-10.09;112.03;31.66;96.04;5.71;11.09;-173.21;-22.79;212.45;6.7;1.93;0.64;1
2;80.11;-33.73;7.94;216.26;97.67;-2.61;-24.74;-329.1;-192.9;7.15;354.36;15.62;-8.66;112.6;-10.89;84.18;7.14;4.36;-257.39;-30.09;101.58;0.98;5.89;0.84;1
2;-78.24;37.8;6.99;94.45;35.15;-16.19;-7.67;-230.09;-1.77;29.33;43.24;27.13;-10.21;123.7;18.86;96.71;7.53;11.47;-121.09;-20.65;189.54;2.3;2.98;1.12;1
2;57.11;-37.54;7.83;222.32;108.53;-0.86;-24.84;-353.82;-219.74;9.69;348.28;15.2;-8.45;112.47;-16.92;103.34;6.75;4.31;-269.19;-33.38;188.21;0.19;5.49;1.11;1
2;-96.18;34.6;8.24;95.09;42.04;-12.44;-4.94;-234.03;-13.37;22.63;30.9;29.16;-10.09;114.94;30.93;99.71;5.66;11.06;-255.27;-22.8;188.66;8.46;2.27;0.86;1
2;84.04;-47.4;6.84;215.77;96.06;-8.73;-23.86;-376.18;-176.98;9.81;359.5;19.81;-9.15;113.18;-19.94;69.46;6.53;4.39;-204.19;-35.88;140.31;-1.03;5.49;1.58;1
2;-78.17;30.66;9.79;97.49;42.68;-14.39;-7.2;-250.8;-21.17;18.61;46.65;30.12;-9.57;123.1;38.67;117.16;6;12.39;-225.91;-26.75;253.57;14.17;2.83;0.3;1
2;61.66;-19.7;7.07;218.58;98.73;-9.45;-22.89;-305.2;-174.25;12.38;358.19;16.48;-8.82;128.33;-21.91;70.04;7.11;5.64;-146.46;-33.87;110.92;0.08;5.29;1.24;1
2;-96.94;40;8.75;111.3;48.39;-17.36;-6.79;-267.59;-19.69;18.5;54.27;24.64;-9.62;136.04;33.72;94.84;4.96;11.74;-144.39;-26.22;226.88;10.67;2.36;-0.16;1
2;83.02;-44.26;7.77;233.81;110.89;-8.66;-23.99;-321.79;-205.42;10.4;383.18;20.59;-8.07;134.81;-14.28;77;7.19;5.17;-241.58;-35.36;96.24;3.22;5.54;1.41;1
2;-79.31;36.82;8.25;115.76;42.67;-18.44;-9.05;-264.14;-14.89;23;62.63;28.76;-9.85;132.53;25.28;103.99;6.63;12.74;-161.25;-22.35;222.75;9.25;3.74;0.67;1
2;60.71;-27.87;7.63;233.78;113.18;-5.89;-26.77;-386.09;-205.73;10.81;367.99;18.37;-8.52;145.42;-18.03;63.06;6.79;5.76;-187.53;-35.22;123.66;-0.09;5.51;1.05;1
2;-91.23;36.11;8.58;105.54;47.17;-15.77;-6.18;-255.7;-19.3;20.15;50.95;25.97;-9.54;132.98;19.01;108.78;5.45;11.17;-248.55;-25.75;185.51;12.06;2.5;0.59;1
2;84.82;-44;7.78;215.11;97.19;-8.48;-22.27;-350.21;-190.34;10.95;365.08;14.56;-8.39;113.62;-11.59;92.55;6.26;5.15;-154.06;-36.25;195.97;-0.02;5.86;1.57;1
2;-101.42;35.86;9.64;138.24;48.45;-27.65;-12.19;-318.05;-31.25;20.83;78.59;26.33;-10.13;138.24;9.57;111.96;6.04;13.55;-164.38;-27.17;233.49;16.34;3.91;0.41;1
2;73.04;-51.78;9.46;253.74;113.75;-8.16;-25.53;-326.46;-230.92;9.07;390.88;16.32;-7.09;122.19;-1.48;114.34;6.77;5.71;-211.99;-35.52;253.9;5.29;4.67;1.24;1
2;-127.48;61.89;7.7;133.66;69.51;-19.27;-7.91;-315.85;-26.72;21.27;54.46;27.03;-11;174.06;28.71;98.8;5.85;11.66;-180.04;-23.27;225.01;8.64;2.79;0.3;1
2;117.4;-72.61;9.25;239.4;121.77;-3.64;-24.5;-407.63;-228.92;14.35;398.18;23.55;-5.85;172.8;-23.76;108.74;6.59;6.84;-245.2;-34.71;149.73;7.24;6.66;2;1
2;-77.73;30.17;8.04;97.86;38.93;-10.63;-9.68;-249.36;-13.52;26.42;48.26;33.31;-9.35;153.94;14.59;103.43;6.5;11.23;-266.39;-22.46;183.14;7.74;3.34;0.9;1
