label;acc_x_avg;acc_y_avg;acc_z_avg;gyro_x_avg;gyro_y_avg;gyro_z_avg;acc_x_max;acc_y_max;acc_z_max;gyro_x_max;gyro_y_max;gyro_z_max;acc_x_min;acc_y_min;acc_z_min;gyro_x_min;gyro_y_min;gyro_z_min;acc_x_stdev;acc_y_stdev;acc_z_stdev;gyro_x_stdev;gyro_y_stdev;gyro_z_stdev
0;3.74;-10.05;-1.11;-12.91;-6.17;109.61;11.5;0.58;5.79;66.64;114.23;369.92;-7.62;-19.64;-10.49;-57.71;-156.36;-198.35;4.93;5.7;3.91;37.25;73.38;200.26
0;-0.36;-11.82;-0.94;0.15;13.21;-98.9;16.23;-5.94;7.99;39.62;80.29;-53.23;-10.56;-19.34;-6.26;-31.61;-214.63;-188.46;5.86;2.5;2.62;18.37;75.87;42.75
0;3.51;-10.22;-1.43;-9.29;-20.64;89.14;13.61;-0.08;5.01;89.33;117.4;353.22;-6.23;-19.95;-13.74;-67.03;-210.98;-197.78;5.37;5.05;3.9;39.03;85.05;192.06
0;0.48;-11.45;-1.03;2.04;30.77;-94.57;11.87;-6.23;9.9;46.71;100.72;-44.28;-7.39;-21.03;-7.75;-29.04;-78.07;-185.17;4.72;2.14;2.85;17.41;49.28;39.85
0;3.06;-10.33;-1.32;-13.62;-17.4;90.27;12.95;-3.08;4.44;49.44;212.1;388.51;-7.96;-19.06;-11.38;-60.8;-184.22;-200.72;5.78;4.62;3.93;31.07;104.45;199.75
0;-0.73;-12.31;-1.17;8.41;21.87;-103.04;10.77;-6.78;8.49;52.34;90.78;-55.64;-12.73;-23.9;-7.42;-32.21;-98.61;-189.08;4.9;3.32;2.62;20.17;50.2;43.73
0;4.28;-10.05;-0.78;-19.84;-18.09;117.72;11.12;0.74;4.42;41.09;121.04;361.36;-5.75;-18.9;-8.83;-55.65;-188.76;-178.68;4.65;4.42;3.33;30.66;85.09;194.14
0;-2.43;-12.47;-1.47;10.88;17.63;-111.89;18.67;-5.82;11.39;71.73;91.55;-26.25;-17.08;-23.34;-10.31;-30.11;-183.38;-216.29;7.39;3.35;4.15;25.46;68.21;51.91
0;4.83;-9.49;0;-37.29;0.1;141.9;16.2;-0.39;4.35;28.25;204.09;365.7;-7.08;-17.36;-9.64;-105.98;-222.52;-192.24;5.73;5.09;3.17;41.75;113.21;198.27
0;-2.67;-12.44;-1.61;12.76;3.44;-112.8;7.36;-6.94;11.56;68.84;71.56;-67.28;-16.19;-22.88;-12.39;-47.67;-211.45;-216.37;5.25;3.36;4.55;24.57;64.92;42.21
0;5.16;-9.5;-0.24;-27.98;-8.08;139.7;13.27;1.89;4.96;33.72;124.27;438.63;-6.13;-20.67;-8.84;-69.7;-265.33;-199.31;5.07;5.65;3.41;34.9;95.32;223.6
0;-2.04;-12.47;-1.51;13.86;12.83;-107.93;11.3;-8.6;13.26;65.27;83.91;-57.41;-12.93;-25.14;-11.52;-52.16;-249.86;-194.68;5.41;3.67;4.67;25.17;62.7;40.6
0;4.09;-9.62;-0.84;-25.39;-20.39;124.1;11.96;-0.21;4.34;35.28;153.89;406.09;-5.96;-18.58;-8.91;-73.26;-251.11;-184.99;4.97;4.96;3.62;34.05;108.43;209.97
0;-1.92;-12.7;-1.43;8.02;17.11;-111.71;13.67;-8.12;11.65;61.11;96.76;-48.72;-12.68;-25.53;-9.35;-45.22;-151.39;-206.99;5.72;3.72;3.97;22.45;58.39;47.47
0;3.94;-9.39;-0.38;-25.7;-20.64;129.52;14.06;-0.91;5.14;24.47;119.48;370;-4.85;-17.12;-9.2;-64.83;-278.45;-194.28;5.11;4.67;3.21;29.95;100.68;200.57
0;-1.4;-12.45;-0.92;7.16;20.84;-107.82;11.73;-5.49;13.21;58.3;103.46;-50.35;-11.47;-27.25;-12.02;-54.07;-209.18;-203.84;5.63;4.27;4.55;22.2;55.13;44.64
0;2.94;-9.86;-1.05;-19.75;-7.6;110.17;13.51;1.55;4.71;62.61;176.09;378.96;-12.27;-18.51;-9.67;-86.87;-293.18;-203.57;6.89;5.38;3.55;40.22;128.53;212.17
0;-0.8;-12.49;-1.27;-0.09;9.84;-105.21;9.28;-7.13;11.13;46.02;119.76;-55.14;-12.67;-25.64;-9.45;-52.47;-286.79;-190.55;5.04;3.8;3.87;20.3;76.31;44.64
0;3.06;-10.27;-0.74;-23.73;-11.22;105.36;14.51;-0.46;9.05;35.65;114.15;375.03;-12.78;-18.95;-11.86;-79.98;-227.61;-194.19;6.7;4.93;4.16;31.99;89.57;216.16
0;-1.64;-12.23;-1.19;4.19;14.54;-106.24;8.42;-7.76;12.14;49.59;80.36;-50.49;-12.64;-22.57;-12.12;-50.92;-169.77;-194.57;4.72;3.1;4.16;22.8;59.17;44.56
0;4.11;-9.71;-0.73;-18.79;-16;128.6;15.45;0.19;6.65;48.52;195.37;413.38;-4.46;-20.17;-10.56;-67.37;-260.08;-185.34;5.15;5.36;3.82;31.75;104.32;211.26
0;-0.52;-12.09;-1.33;5.07;22.81;-98.9;9.69;-8.53;10.02;57.46;101.33;-51.94;-7.99;-22.89;-10.34;-51.96;-237.24;-166.81;4.64;3.04;3.55;23.31;57.94;37.85
0;2.84;-10.18;-1.04;-14.52;-11.74;97.26;11.11;-1.39;5.67;53.33;155.56;396.37;-12.11;-17.67;-9.9;-76.85;-211.52;-169.19;6.15;4.36;3.4;31.33;91.14;208.95
0;-1.99;-12.42;-1.46;13.86;18.11;-107.54;16.79;-6.28;10.82;64.92;94.89;-44.4;-14.18;-27.99;-10.77;-39.76;-178.49;-196.74;6.39;4.16;3.99;22.79;59.21;45.15
0;4.43;-9.46;-0.72;-19.16;-16.74;127.43;14.37;1.54;5;55.17;173.34;379.84;-9;-17.38;-10.29;-76.73;-298.13;-186.62;6.15;4.95;3.72;38.74;116.8;207.3
0;-1.88;-12.5;-1.45;4.01;13.5;-111.32;11.11;-7.47;13.37;62.92;121.15;-59.23;-14.98;-25.05;-12.34;-63.67;-309.02;-200.09;5.5;3.64;4.62;28;85.68;42.06
0;4.46;-9.39;-0.85;-24.84;-17.81;131.27;12.53;0.71;5.71;28.05;166.85;376.41;-6.1;-17.69;-10.3;-66.05;-251.25;-183.23;5.01;4.59;3.7;27.81;101.1;199.86
0;-2.16;-12.59;-1.53;16.39;13.21;-108;14.07;-7.39;11.79;77.47;93.96;-47.58;-17.23;-26.89;-10.34;-48.68;-211.89;-194.06;6.43;3.93;4.21;27.1;70.12;40.23
0;5.02;-9.21;-1.11;-16.38;-13.04;130.39;16.38;-0.07;4.14;56.82;217.4;410.42;-4.93;-17.85;-10.84;-69.46;-252.26;-174.37;5.05;4.65;3.77;30.61;128.72;208.89
0;-1;-12.24;-1.12;7.79;21.35;-105.42;15.14;-5.34;8.86;62.97;85.75;-40.74;-11.54;-27.38;-9.32;-45.48;-143.92;-180.92;5.56;3.95;3.56;24.81;57.49;45.61
0;3.79;-9.77;-1.61;-5.45;-19.83;101.81;11.96;-0.21;4.39;63.65;127.15;365.55;-11.43;-16.6;-11.25;-56.67;-224.1;-182.6;6.17;4.65;3.66;31.06;97.34;204.21
0;-1.31;-12.42;-1.31;5.46;22.77;-103.08;12.73;-6.37;8.38;64.92;96.53;-35.64;-14.2;-24.45;-7.89;-48.47;-116.51;-199.25;5.98;3.37;2.93;24.93;58.03;51.84
0;4.03;-9.32;-0.77;-24.62;-6.61;119.46;11.16;0.57;5.19;32.77;146.88;359.99;-3.17;-15.67;-7.99;-75.74;-294.13;-185.99;4.35;4.19;3.13;31.94;101.59;201.58
0;-1.57;-12.43;-1.62;9.92;22.83;-105.06;15.37;-6.19;9.14;56.92;97.49;-24.69;-12.67;-24.21;-10.29;-48.69;-277.38;-194.64;6.26;3.44;3.75;26.95;82.23;52.16
0;4.4;-9.73;-1.15;-12.78;-12.93;127.27;13.39;-0.44;5.81;76.18;120.47;364.4;-4.56;-19.09;-11.11;-64.89;-207.8;-184.49;5.13;4.56;3.61;34.64;81.6;195.06
0;-1.72;-12.48;-1.19;4.6;12.67;-107.54;11.61;-8.36;7.4;56.84;71.51;-49.81;-13.83;-21.74;-8.94;-36.33;-203.3;-195.47;5.82;2.97;3.11;21.68;69.07;48.63
0;4.11;-9.69;-0.8;-24.94;-19.17;125.87;14.59;1.7;6.87;38.06;131.06;388.57;-5.63;-21;-9.24;-84.88;-185.44;-205.39;5.06;5.53;3.84;33.79;97.93;209.92
0;-1.06;-12.23;-1.31;2.67;20.17;-105.95;13.01;-7.52;9.04;51.09;108.98;-30.1;-11.91;-19.78;-9.32;-42.42;-179.37;-195.13;6.12;2.71;3.29;25.67;70.58;53.1
0;4.34;-9.48;-0.77;-23.26;-21.37;120.85;13.74;-0.05;5.53;61.73;180.81;359.62;-7.18;-18.52;-9.18;-66.48;-198.82;-199.99;5.69;4.86;3.52;33;101.47;193.62
0;-1.28;-12.17;-1.22;7.91;20.28;-105.16;15.37;-6.7;7.07;59.33;93.55;-32.81;-12.11;-19.98;-8.46;-32.53;-187.23;-203.27;6.53;2.79;3.03;24.56;63.56;54.14
