label;acc_x_avg;acc_y_avg;acc_z_avg;gyro_x_avg;gyro_y_avg;gyro_z_avg;acc_x_max;acc_y_max;acc_z_max;gyro_x_max;gyro_y_max;gyro_z_max;acc_x_min;acc_y_min;acc_z_min;gyro_x_min;gyro_y_min;gyro_z_min;acc_x_stdev;acc_y_stdev;acc_z_stdev;gyro_x_stdev;gyro_y_stdev;gyro_z_stdev
2;1.91;-11.01;-0.45;5.28;22.35;-92.77;28.38;0.68;4.19;46.92;93.72;-19.48;-11.8;-26.14;-5.56;-29.75;-249.99;-222.21;8.33;4.76;2.15;23.82;75.21;63.83
2;5.76;-9.6;-1.52;-25.25;-32.44;79.45;18.43;-1.4;4.99;59.67;148.61;380.21;-7.27;-26.83;-14.37;-107.72;-172.73;-330.5;6.73;6.13;4.45;44.53;89.72;211.71
2;1.88;-11.56;-0.38;7.05;29.11;-95.67;19.65;-1.18;9.83;44.75;93.06;-16.82;-8.47;-24.62;-7.22;-27.63;-174.87;-245.47;7.91;5.22;3.05;24;59.02;65.9
2;6.73;-8.95;-0.53;-39.51;-30.96;94.43;14.97;-1.58;7.02;40.58;221.98;386.8;-4.07;-27.65;-16.78;-144.48;-178.11;-342.04;5.82;5.78;5.17;51.71;109.08;219.17
2;2.36;-11.03;-0.49;14.29;26.08;-99.75;20.98;0.5;10.68;62.38;124.28;-20.09;-14.47;-20.14;-5.03;-23.37;-141.58;-239.12;9.46;5.55;3.18;32.55;74.98;79.86
2;5.68;-9.76;-0.09;-47.36;-28.89;87.23;15.31;0.34;7.21;3.12;166;396.08;-2.84;-29.74;-8.76;-156.52;-189.47;-332.01;5.16;7.06;3.57;46.24;89.95;231.61
2;2.34;-11.41;-1.39;11.06;30.73;-109.24;33.13;3.83;2.33;57.58;141.34;-29.28;-14.84;-23.96;-5.25;-31.97;-194.33;-261;12.11;6.28;1.52;29.62;75.03;74.16
2;6.34;-9.83;-0.38;-47.08;-23.97;101.38;19.12;-4.74;4.31;18.06;103.58;391.52;-3.79;-30.77;-13.73;-132.18;-201.02;-408.93;4.8;5;4;47.01;95.52;238.29
2;2.93;-11.95;-0.51;11.2;39.4;-131.56;37.84;10.9;4.89;52.68;327.76;-29.98;-14.18;-27.61;-3.74;-23.11;-178.2;-288.32;13.03;8.09;2.88;26.35;122.95;88.16
2;7.03;-9.12;-0.41;-41.01;-37.94;119.68;21.44;0.02;6.22;37.06;198.97;442.63;-11.06;-27.99;-15.16;-145.27;-192.95;-389.03;8.32;6.84;4.72;46.8;92.88;253.76
2;1.85;-11.32;-0.11;15.67;1.25;-113.91;34.46;4.53;8.64;67.05;137.24;-19.6;-12.79;-22.29;-3.08;-27.92;-193.88;-284.24;12.42;6.7;3.43;33.4;92.83;92.4
2;7.19;-10.69;-0.94;-40.92;1.58;105.03;25.72;-1.12;6.86;9.11;112.21;448.55;-15.58;-31.93;-16.51;-130.56;-188.39;-409.61;8.81;7.34;5.3;41.83;96.04;261.5
2;1.5;-11.22;-0.53;13.57;17.99;-113.88;40.26;10.37;5.19;62.91;150.26;-12.78;-15.93;-27.76;-4.12;-26.84;-260.95;-269.46;14.48;8.65;2.86;30.43;95.57;81.93
2;6.43;-10.52;-0.81;-35.79;-25.46;99.53;22.88;-1.68;7.18;13.34;170.6;420.04;-7.21;-33.83;-15.04;-141.83;-218.07;-369.29;8.13;6.82;5.02;47.08;111.99;243.25
2;1.54;-11.47;-0.83;6.32;33.36;-116.1;37.77;12.99;2.94;48.48;158.23;-19.88;-21.65;-28.57;-3.35;-35.83;-229.66;-302.92;14.21;9.01;1.75;30.75;86.95;82.36
2;6.29;-10.21;-0.1;-35.73;-13.73;101.25;18.74;-1.17;6.27;25.87;159.88;435;-8.15;-32.01;-8.11;-137.58;-239.44;-357.36;6.71;7.02;3.39;42.54;106.38;245.96
2;1.3;-11.19;-1.41;17.13;25.91;-122.95;41.11;13.62;3.63;58.59;207.36;-13.92;-20.41;-28.48;-6.14;-22.61;-215.04;-287.44;14.45;8.95;1.94;24.86;89.66;84.09
2;6.58;-10.6;-0.5;-37.88;-38.93;102.55;22.3;0.07;6;34.39;207.7;440.73;-9.87;-36.05;-15.15;-151.18;-216.81;-328.01;9.24;7.95;4.93;49.45;108.69;245.44
2;0.58;-11.55;-1.03;3.92;29.67;-124.16;37.06;12.79;2.36;49.9;140.03;-37.81;-20.3;-29.47;-4.93;-37.33;-240.16;-279.86;14.41;9.79;1.82;27.05;94.03;75.54
2;6.72;-10.27;-0.42;-38.86;-34.48;97.89;23.09;-1.93;5.55;16.05;134.45;434.39;-7.49;-29.6;-14.97;-141.54;-236.97;-380.88;8.72;6.79;5.01;49.55;110.92;253.88
2;1.18;-11.93;-0.8;0.08;22.71;-127.31;37.32;8.27;4.91;53.95;169.17;-18.2;-20.55;-28.09;-6.51;-37.39;-220.25;-260.73;14.25;8.26;2.58;27.64;99.35;82.83
2;6.61;-9.39;0.52;-50.05;-22.14;112.52;16.99;-1.71;6.14;0.13;200.82;449.07;-3.37;-30.93;-7.12;-142.26;-163.03;-346.64;6.16;6.82;3.67;43.97;93.2;254.21
2;1.26;-12.8;-1.27;1.43;28.56;-136.71;37.34;7.35;2.83;44.42;151.69;-42.27;-21.03;-28.39;-8.92;-45.24;-230.62;-282.79;14.67;8.21;2.42;24.11;93.35;79.91
