acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z;label
-4.68;-8.16;-9.8;-1.5;14.92;-42.22;1
-4.62;-7.99;-9.55;-3.37;13.59;-44.02;1
-4.62;-8.03;-9.4;-3.71;8.09;-44.95;1
-4.66;-8.37;-9.48;-3.57;5.19;-45.56;1
-4.68;-8.66;-9.66;-2.4;3.48;-46.6;1
-4.56;-8.53;-9.49;-2.14;-0.8;-47.43;1
-4.36;-8.26;-9.01;-1.84;-7.12;-47.53;1
-4.22;-8.08;-9.06;-0.61;-12.12;-46.89;1
-4.04;-8.54;-9.43;-0.7;-9.97;-46.29;1
-3.91;-8.88;-9.59;-0.94;-7.07;-46.55;1
-3.57;-8.97;-9.25;-0.58;-8.07;-47.5;1
-3.51;-8.85;-9.17;0.29;-9.59;-49.88;1
-3.43;-8.71;-9.22;0.37;-10.26;-51.5;1
-3.59;-8.77;-9.1;-0.42;-7.36;-52.53;1
-3.49;-9.11;-8.99;1.65;-5.41;-51.22;1
-3.11;-9.05;-8.88;3.07;-5.19;-49.79;1
-2.87;-9.01;-8.68;5.69;-5.28;-49.19;1
-2.66;-8.98;-8.96;8.54;-3.61;-48.66;1
-2.84;-8.99;-9.04;8.93;1.67;-47.86;1
-2.78;-9.26;-9.1;10.24;2.45;-46.11;1
-2.75;-9.43;-8.88;12.27;3.88;-44.85;1
-2.51;-9.33;-8.99;13.69;1.57;-45.29;1
-2.34;-9.15;-9.2;14.58;-1.2;-46.83;1
-2.22;-8.85;-9.39;13.82;0.44;-48.33;1
-2.27;-8.68;-9.41;13.58;-1.46;-48.58;1
-2.5;-8.66;-9.4;12.58;-3.84;-46.9;1
-2.72;-8.88;-9.39;10.78;-4.33;-43.46;1
-2.68;-9.3;-9.47;9.3;-1.79;-41.08;1
-2.41;-9.39;-9.26;8.33;-2.58;-40.69;1
-2.07;-9.2;-9.18;8.72;-3.03;-43.33;1
-2.21;-9.06;-9.1;10.16;-5.37;-45.3;1
-2.47;-8.86;-9.38;9.8;-12.95;-44.73;1
-2.56;-8.9;-9.42;6.9;-19.29;-41.66;1
-2.58;-8.99;-9.2;5.45;-21.15;-39.09;1
-2.5;-9.04;-9.07;5.03;-23.91;-36.48;1
-2.32;-8.95;-9.05;4.4;-27.52;-34.36;1
-2.18;-8.73;-9;4.37;-33.12;-33.63;1
-1.96;-8.89;-9.08;4.12;-39.42;-32.59;1
-1.93;-9.15;-9.08;3.55;-44.43;-30.93;1
-1.64;-9.32;-8.99;4.21;-47.2;-28.86;1
-1.5;-9.21;-9.12;2.8;-48.91;-28.14;1
-1.38;-9.27;-9.2;0.87;-49.95;-27.5;1
-1.18;-9.48;-9.18;-0.37;-47.75;-26.17;1
-0.94;-9.48;-8.93;-0.48;-45.81;-24.28;1
-0.74;-9.38;-8.66;0.65;-44.49;-22.32;1
-0.53;-9.44;-8.67;1.4;-42.2;-21.03;1
-0.42;-9.6;-8.92;2.24;-39.07;-20.23;1
-0.13;-9.6;-8.94;0.44;-34.94;-20.47;1
-0.09;-9.7;-8.85;-0.18;-32.07;-21.5;1
-0.39;-9.74;-8.69;-0.05;-27.77;-21.55;1
-0.63;-9.44;-8.49;-0.78;-24.26;-19.09;1
-0.62;-9.41;-8.45;-0.34;-23;-16.26;1
-0.66;-9.48;-8.49;1.34;-21.45;-14.29;1
-0.44;-9.41;-8.66;2.41;-21.2;-13.56;1
-0.14;-9.41;-8.83;3.28;-19.77;-13.82;1
-0.11;-9.64;-8.93;5.01;-17.46;-13.69;1
-0.18;-9.91;-9.01;4.66;-14.61;-12.99;1
-0.22;-10.09;-8.94;4.75;-10.9;-12.08;1
-0.2;-9.9;-9.04;6.82;-6.66;-12.24;1
-0.34;-9.39;-9.05;8.05;-2.02;-13.08;1
-0.61;-8.97;-9.07;6.14;0.77;-11.4;1
-0.9;-9.06;-8.81;3.54;1.99;-8.88;1
-0.9;-9.25;-8.61;2.19;-1.22;-6.5;1
-0.91;-9.49;-8.71;2.3;-6.31;-5.99;1
-0.95;-9.51;-8.83;1.66;-10.57;-6.43;1
-1.02;-9.38;-8.96;0.26;-14.23;-6.61;1
-0.83;-9.27;-8.78;-0.89;-17.28;-6.59;1
-0.63;-9.4;-8.46;-1.19;-20.26;-5.42;1
-0.28;-9.79;-8;-1.14;-20.13;-3.71;1
0.01;-9.89;-8.23;1.71;-18.39;-2.87;1
0.14;-9.79;-8.43;4.11;-17.1;-4.19;1
0.11;-9.44;-8.7;2.99;-16.12;-5.52;1
0.11;-9.3;-8.7;-0.35;-13.72;-6.17;1
0.14;-9.46;-8.39;-3.04;-11.64;-4.82;1
0.17;-9.64;-8.15;-3.27;-9.47;-3.33;1
0.31;-9.68;-8.11;-1.92;-5.26;-1.66;1
0.27;-9.55;-8.32;-1.95;-1.71;-0.45;1
0.19;-9.4;-8.21;-3.18;0.53;0.21;1
0.03;-9.45;-8.15;-5.66;1.7;1.19;1
0.01;-9.77;-7.9;-6.57;2.33;2.05;1
0.24;-9.95;-7.52;-5.37;3.85;1.66;1
0.4;-10.07;-7.36;-2.5;6.42;0.41;1
0.48;-10.1;-7.28;0.23;9.87;-0.47;1
0.51;-9.96;-7.4;2.99;12.05;-1.3;1
0.56;-9.76;-7.69;4.37;13.91;-2.73;1
0.42;-9.6;-7.94;4.35;13.48;-3.92;1
0.22;-9.59;-8.14;4.3;12.83;-4.8;1
-0.1;-9.47;-8.22;3.03;14.1;-5.56;1
-0.33;-9.37;-8.26;1.56;11.79;-5.65;1
-0.41;-9.45;-8.27;0.51;7.73;-5.21;1
-0.39;-9.64;-8.34;-0.58;5.27;-4.69;1
-0.28;-9.73;-8.55;-0.13;4.22;-5.64;1
-0.21;-9.58;-8.46;0.23;2.53;-6.17;1
-0.34;-9.53;-8.31;0.69;0.38;-5.93;1
-0.48;-9.6;-8.23;0.47;0.59;-4.72;1
-0.61;-9.83;-8.27;0.07;1.91;-3.73;1
-0.59;-9.87;-8.32;0.81;1.06;-3.37;1
-0.53;-9.77;-8.38;1.51;-0.5;-3.35;1
-0.48;-9.46;-8.63;1.14;-1.9;-3.42;1
-0.41;-9.32;-8.66;-1.31;-2.41;-2.34;1
-0.27;-9.3;-8.69;-2.26;-3.78;-1.94;1
-0.05;-9.52;-8.67;-2.2;-2.59;-1.41;1
-0.17;-9.6;-8.67;-1.97;-1.26;-1.04;1
-0.17;-9.67;-8.6;-0.72;-2.3;-0.48;1
-0.12;-9.61;-8.52;0.12;-4.19;0.02;1
-0.14;-9.61;-8.6;-0.31;-4.26;0.02;1
-0.25;-9.69;-8.52;-0.76;-2.3;-0.23;1
-0.19;-9.76;-8.55;-0.33;-1.32;-1.13;1
-0.11;-9.72;-8.61;0.27;-2.14;-1.98;1
-0.1;-9.64;-8.73;0.4;-3.98;-2.51;1
-0.03;-9.62;-8.63;0.54;-4.98;-2.25;1
-0.13;-9.66;-8.63;0.28;-3.59;-2.15;1
-0.08;-9.63;-8.69;0.28;-0.92;-2.72;1
-0.1;-9.6;-8.62;0.38;0.46;-2.7;1
-0.21;-9.63;-8.53;0.3;2.45;-3.18;1
-0.19;-9.55;-8.5;0.35;4.14;-2.92;1
-0.05;-9.57;-8.53;0.26;3.76;-3.09;1
-0.05;-9.64;-8.4;0.73;3.77;-3.44;1
-0.17;-9.63;-8.42;0.45;4.19;-5;1
-0.21;-9.73;-8.39;0.47;3.63;-5.04;1
-0.18;-9.72;-8.39;1.16;1.89;-5.33;1
-0.04;-9.59;-8.26;0.91;0.65;-5.66;1
0.01;-9.62;-8.25;1.6;0.61;-5.57;1
0.18;-9.67;-8.33;2.5;2.67;-5.39;1
0.23;-9.57;-8.55;2.34;5.2;-5.56;1
0.17;-9.54;-8.49;1.89;8.39;-5.57;1
0.05;-9.56;-8.49;1.73;10.12;-5.66;1
0.02;-9.59;-8.51;1.8;10.93;-5.17;1
-0.07;-9.58;-8.59;1.83;11.2;-5.55;1
-0.11;-9.64;-8.54;1.87;10.68;-5.24;1
-0.17;-9.65;-8.5;1.59;11.28;-5.24;1
-0.19;-9.71;-8.51;1.6;10.06;-5.02;1
-0.11;-9.61;-8.54;1.69;9.68;-5.3;1
-0.2;-9.59;-8.52;1.97;9.72;-5.69;1
-0.2;-9.52;-8.48;2.26;7.89;-5.57;1
-0.24;-9.55;-8.56;1.77;5.79;-5.59;1
-0.28;-9.58;-8.51;2.07;5.87;-5.39;1
-0.28;-9.61;-8.7;1.61;5.87;-5.27;1
-0.26;-9.59;-8.66;1.51;4.74;-5.51;1
-0.2;-9.56;-8.52;1.93;2.93;-5.47;1
-0.15;-9.55;-8.55;1.98;1.93;-5.76;1
-0.17;-9.52;-8.64;1.58;1.25;-5.75;1
-0.18;-9.59;-8.52;0.91;1.13;-5.09;1
-0.02;-9.64;-8.49;1.43;-0.62;-5.3;1
-0.11;-9.71;-8.61;2.74;-0.66;-5.24;1
-0.07;-9.57;-8.55;2.23;0.22;-5.16;1
-0.03;-9.5;-8.49;1.31;1.03;-5.27;1
-0.13;-9.53;-8.5;1.2;-0.04;-5.04;1
-0.14;-9.61;-8.46;1.59;-2.25;-4.62;1
-0.09;-9.72;-8.53;1.39;-2.01;-4.03;1
0.08;-9.63;-8.47;1.03;-0.58;-4.31;1
0.16;-9.64;-8.44;2.18;-0.18;-5.08;1
0.09;-9.54;-8.48;2.54;-1.25;-5.13;1
0.06;-9.5;-8.49;1.69;-2.55;-5.26;1
0.05;-9.59;-8.45;0.58;-2.75;-5.56;1
0.03;-9.66;-8.48;0.69;-2.29;-5.46;1
0.17;-9.58;-8.4;1.39;-2.23;-5.14;1
0.31;-9.55;-8.26;1.17;-1.88;-5.18;1
0.27;-9.55;-8.24;0.98;-1.42;-5.45;1
0.21;-9.6;-8.27;0.65;-0.49;-5.39;1
0.14;-9.6;-8.29;0.77;-0.42;-5.1;1
0.12;-9.65;-8.34;0.82;-1.01;-4.95;1
0.19;-9.59;-8.3;1.18;-1.16;-4.39;1
0.13;-9.59;-8.29;1.54;-1.17;-4.01;1
0.13;-9.51;-8.33;1.83;-1.27;-3.45;1
0.14;-9.5;-8.34;1.4;-1.26;-3.48;1
0.17;-9.59;-8.36;0.44;-0.84;-2.8;1
0.24;-9.59;-8.31;-0.02;0.53;-2.72;1
0.25;-9.63;-8.28;0.22;0.9;-2.29;1
0.22;-9.6;-8.37;0.47;1.03;-2.17;1
0.22;-9.5;-8.43;0.66;0.96;-2.21;1
0.23;-9.54;-8.41;-0.06;0.55;-1.6;1
0.23;-9.56;-8.24;-1.08;0.18;-1.38;1
