acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z;label
1.82;-13.72;-11.65;91.6;-35.68;103.87;2
3.37;-13;-13.38;76.24;9.58;95.99;2
3.8;-11.55;-12.92;60.28;33.74;99.16;2
4.89;-12.18;-12.52;51.84;26.67;104.81;2
5.96;-12.74;-12.21;61.81;-14.62;102.03;2
5.96;-12.07;-12.46;83.72;-60.59;89.73;2
4.1;-10.51;-12.43;92.56;-74.12;74.05;2
0.92;-10.44;-12.13;83.47;-69.15;62.47;2
-1.84;-10.78;-11.19;66.91;-54.34;64.14;2
-3.31;-11.7;-10.08;53.61;-15.2;76.08;2
-1.99;-12.28;-9.39;48.75;1.24;90.08;2
0.91;-11.99;-10.22;47.08;-7.75;91.49;2
2.5;-11.84;-11.26;43.08;-8.3;85.31;2
2.74;-11.13;-11.59;39.04;-16.37;79.34;2
2.74;-10.66;-11.65;35.71;-23.23;75.12;2
2.42;-9.92;-11.15;32.45;-29.98;73.07;2
2.04;-9.56;-10.45;30.89;-36.46;69.55;2
1.55;-9.03;-9.73;29.89;-43.52;65.12;2
1.43;-8.56;-9.5;27.8;-44.65;61.76;2
1.53;-7.87;-9.42;22.87;-44.1;57.76;2
1.79;-7.33;-9.64;16.98;-42.1;52.72;2
2.32;-6.94;-9.67;12.15;-38.68;45.49;2
2.69;-6.65;-9.61;8.01;-34.47;36.37;2
3;-6.36;-9.61;5.67;-28.08;26.5;2
2.94;-6.3;-9.52;3.66;-21.69;16.5;2
2.44;-6.41;-9.12;1.53;-16.54;6.24;2
2;-6.55;-8.77;1.28;-12.57;-2.17;2
1.23;-6.5;-8.72;2.07;-10.76;-9.98;2
0.63;-6.33;-8.76;1.5;-10.68;-16.13;2
-0.08;-6.18;-9.11;-3.21;-13.37;-21.27;2
-0.8;-5.98;-9.42;-12.92;-17.29;-23.82;2
-1.44;-5.97;-9.51;-25.4;-20.43;-25.51;2
-2.39;-6.21;-9.29;-38.57;-21.37;-27.43;2
-3.32;-6.71;-8.7;-49.15;-17.46;-28.75;2
-4.12;-7.63;-8.13;-58.19;-7.63;-33.27;2
-5;-8.98;-7.6;-65.6;3.67;-41.86;2
-6.13;-10.77;-6.96;-70.62;9.64;-55.24;2
-6.63;-12.05;-6.91;-67.71;16.71;-66.7;2
-7.24;-12.43;-7.27;-60.06;19.66;-69.96;2
-7.89;-11.86;-7.58;-50.61;3.96;-67.94;2
-7.91;-11.09;-8;-39.74;-18.37;-56.06;2
-6.31;-10.46;-9.16;-31.86;-28.26;-40.27;2
-3.77;-10.52;-10.91;-28.36;-18.38;-25.45;2
-0.16;-11.5;-12.83;-34.18;6.44;-18.63;2
3.47;-13.63;-14.27;-46.52;45.57;-15.15;2
5.8;-15.44;-13.57;-66.18;63.9;-18.92;2
5.59;-13.72;-7.78;-85.73;25.44;-21.72;2
2.49;-14.42;4;-60.62;-43.36;-22.63;2
0.84;-13.36;-1.94;6.22;-36.31;-15.78;2
2.18;-10.73;-7.1;28.27;-12.12;-11.96;2
4.28;-8.83;-12.32;27.71;39.93;-11.06;2
5.34;-6.83;-15.41;4.78;94.98;-16.16;2
4.79;-5;-15.76;-33.88;131.54;-23.57;2
3.64;-4.52;-13.27;-69.04;134.45;-32.6;2
3.05;-5.73;-9.47;-77.77;125.16;-41.21;2
3.11;-8.45;-7.59;-48.88;119.37;-52.7;2
3.7;-11.14;-9.54;-8.11;108.35;-62.31;2
3.7;-13.19;-13.35;16.01;89.69;-72.84;2
1.5;-13.07;-16.46;17.7;66.03;-85.29;2
-2.19;-11.74;-17.48;1.01;36.12;-91.09;2
-5.58;-10.19;-16.31;-23.07;14.09;-82.98;2
-6.92;-9.36;-14.6;-43.28;10.14;-65.9;2
-5.61;-8.63;-12.83;-52.3;-8.48;-51.56;2
-2.78;-8.59;-11.66;-53.5;-31.01;-49.58;2
-0.77;-8.61;-10.31;-50.9;-43.36;-51.37;2
0.18;-9;-8.84;-45.39;-48.36;-50.45;2
0.39;-9.87;-8.02;-36.17;-45.7;-45.72;2
0.28;-10.17;-8.34;-24.99;-28.7;-41.93;2
-0.51;-9.5;-9.38;-16.61;-8.15;-37.23;2
-0.77;-8.88;-10.94;-12.25;8.48;-32.4;2
-0.48;-8.81;-12.45;-12.02;26.44;-29.23;2
-0.14;-9.27;-13.55;-15.99;43.65;-26.75;2
