acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z;label
-0.54;-9.87;-9.99;57.91;38.21;49.48;0
-0.94;-9.71;-9.45;60.79;35.99;60.42;0
-1.34;-9.88;-8.54;63.5;27.61;71.37;0
-1.17;-10.4;-7.78;67.57;21.45;80.6;0
-0.97;-11.05;-7.82;70.79;15.87;81.89;0
-0.8;-10.93;-9.08;70.2;1.26;73.5;0
-0.44;-11.57;-10.52;63.72;-13.74;67.96;0
-1.18;-10.85;-10.86;63.07;-22.1;73.15;0
-0.7;-11.13;-11.27;64.22;-13.31;81.84;0
0.95;-10.8;-11.29;63.01;-18.93;87.72;0
2.37;-11.58;-11.65;60.92;-31.65;85;0
2.98;-11.76;-11.54;63.33;-29.73;77.7;0
2.93;-11.53;-11.32;68.18;-25.96;71.61;0
2.09;-11.53;-11.17;69.79;-26.19;66.88;0
1.42;-11.45;-11.28;68.21;-19.68;62.79;0
1.14;-11.25;-11.49;64.71;-7.43;56.25;0
0.71;-10.35;-11.45;57.17;7.62;49.5;0
0.51;-9.95;-11.7;46.49;23.9;44.14;0
-0.01;-9.61;-11.65;37.31;30.52;41.15;0
-0.1;-9.42;-11.37;31.08;28.79;39.54;0
-0.4;-9.69;-11.12;27.01;17.06;36.2;0
-0.74;-9.63;-10.49;25.89;3.95;35.33;0
-0.87;-9.51;-10.15;25.27;-9.04;32.79;0
-0.82;-9.3;-9.92;23.01;-20.39;28.5;0
-0.87;-8.7;-9.92;20.24;-28.02;26.53;0
-0.74;-8.23;-9.96;16.5;-33.42;25.18;0
-0.19;-7.62;-9.98;11.59;-34.87;23.01;0
0.36;-7.01;-9.9;6.71;-34.01;17.84;0
0.58;-6.87;-9.72;1.34;-31.13;11.98;0
0.63;-6.83;-9.58;-3.39;-26.89;6.79;0
0.63;-6.88;-9.36;-7.61;-23.34;0.72;0
0.39;-7.08;-9.13;-10.34;-20.65;-4.36;0
0.07;-7.38;-8.89;-11.97;-19.42;-9.17;0
-0.44;-7.57;-8.78;-12.43;-19.6;-12.63;0
-0.98;-7.91;-8.56;-12.4;-21.26;-16.01;0
-1.35;-8.14;-8.45;-12.83;-23.12;-17.44;0
-1.62;-8.08;-8.17;-13.57;-26.57;-18.74;0
-1.84;-7.9;-7.96;-13.5;-28.36;-19.49;0
-2.27;-7.85;-7.85;-12.92;-27.94;-20.6;0
-2.86;-7.79;-7.81;-13.04;-24.6;-21.55;0
-3.8;-7.94;-7.75;-14;-24.57;-22.15;0
-4.45;-8.11;-7.76;-15.81;-26.38;-22.56;0
-5.05;-8.25;-7.73;-17.95;-31.36;-22.91;0
-5.35;-8.4;-7.76;-21.21;-36.75;-22.94;0
-5.6;-8.66;-7.93;-24.7;-34.71;-22.46;0
-6.11;-9.05;-7.92;-25.4;-23.91;-19.71;0
-6.17;-9.39;-7.84;-21.81;-11.36;-13.88;0
-5.53;-9.14;-7.95;-15.71;-1.3;-6.77;0
-4.28;-8.46;-9.06;-14.53;8.69;-0.05;0
-2.31;-7.98;-10.88;-23.82;20.64;2.53;0
0.95;-9.02;-13;-44.37;36.49;-3.82;0
4.43;-12.34;-14.23;-76.12;58;-24.21;0
5.61;-17.25;-12.73;-107.83;58.07;-53.36;0
3.8;-19.55;-6.71;-109.01;18.61;-66.44;0
-2.13;-19.55;2.4;-35.04;-17.26;-52.58;0
-3.02;-16.83;-3.26;40.03;-27.28;-23.57;0
0.33;-10.84;-9.46;67.76;-11.28;-16.6;0
2.3;-6.47;-15.43;57.22;25.28;-18.24;0
3.71;-3.25;-18.27;13.84;72.56;-17.72;0
5.24;-1.66;-18.01;-44.42;104.93;-21.01;0
6.29;-1.97;-14.18;-89.61;113.42;-30.86;0
6.07;-4.71;-8.22;-90.11;102.93;-46.43;0
4.32;-8.14;-5.12;-38.73;86.7;-59.09;0
2.01;-9.84;-8.26;13.89;76.53;-63.88;0
-0.19;-10.99;-13.26;28.13;66.12;-64.08;0
-2.28;-12.47;-16.23;8.69;65.23;-61.42;0
-4.8;-11.82;-15.56;-22.95;63.6;-55.24;0
-6.67;-10.71;-12.67;-46.87;55.2;-40.66;0
-6.59;-10.54;-9.11;-52.97;40.43;-25.91;0
-4.09;-10.79;-7.03;-39.64;14.17;-20.84;0
-1.77;-10.72;-7.28;-16.02;-11.94;-22.96;0
0.21;-10.17;-9.56;2.05;-24.46;-24.34;0
1.06;-9.66;-11.97;6.6;-30.39;-24.13;0
1.86;-9.71;-14.01;-1.58;-37.26;-24.59;0
1.78;-9.28;-14.5;-14.85;-47.03;-26.02;0
1.01;-8.94;-14.22;-25.15;-53.72;-25.48;0
0.21;-8.85;-13.54;-32.79;-55.05;-23.59;0
-0.19;-9.12;-12.7;-39.08;-52.59;-22.72;0
-0.4;-9.46;-11.77;-42.84;-49.23;-22.77;0
-0.26;-9.79;-10.39;-42.5;-43.2;-21.96;0
0.16;-9.96;-9.59;-36.84;-34.52;-21.82;0
0.56;-9.79;-9.48;-29.28;-22.31;-20.8;0
0.76;-9.62;-9.75;-24.82;-12.66;-19.74;0
0.92;-9.69;-10.41;-25.24;-2.24;-20.86;0
0.76;-9.59;-10.72;-28;8.33;-20.05;0
0.59;-9.39;-11.03;-30.05;16.23;-21.01;0
0.81;-9.32;-11.1;-29.53;23.97;-21.11;0
1.08;-9.22;-11.55;-25.67;23.81;-26.05;0
0.84;-8.87;-11.51;-19.12;15.68;-30.31;0
0.94;-8.99;-11.94;-14.92;9.39;-34.04;0
0.62;-9.57;-12.26;-14.67;5.61;-38.92;0
-0.24;-9.99;-12.28;-16.57;2.93;-41.04;0
-1.07;-10.05;-12.24;-20.66;-2.28;-39.95;0
-1.38;-9.85;-11.98;-28.25;-6.15;-38.53;0
-1.53;-9.53;-11.45;-36.21;-4.32;-37.03;0
-1.62;-9.51;-10.91;-41.4;-0.66;-34.76;0
-1.35;-9.67;-10.37;-42.47;0.43;-33.81;0
-0.73;-9.89;-9.81;-37.75;0.59;-32.71;0
0.1;-9.92;-9.14;-30.88;3.05;-29.25;0
0.96;-9.92;-8.72;-22.38;9.3;-24.27;0
1.54;-9.8;-8.59;-11.04;17.25;-20.15;0
1.44;-9.79;-9.11;2.49;21.42;-17.5;0
0.65;-9.61;-10.31;13.05;24.19;-14.72;0
-1.24;-10.29;-11.74;19.05;29.04;-9.66;0
-3.2;-10.86;-12.63;22.48;27.2;2.79;0
-4.93;-10.86;-12.93;25.07;22.61;20.48;0
-6.03;-10.81;-12.66;25.6;18.86;41.91;0
-6.34;-11.1;-11.6;26.11;15.91;64.37;0
-5.82;-11.73;-9.61;34.24;8.94;84.88;0
-4.68;-12.2;-8.2;51.01;0.9;101.14;0
-3.53;-12.39;-8.24;68.31;-2.68;114.58;0
-2.56;-12.56;-8.88;77.52;-7.14;123.64;0
-1.6;-12.14;-9.44;79.18;-20.86;124.67;0
-0.21;-12.15;-9.61;79.5;-33.86;119;0
1.79;-12.5;-10.76;81.63;-30.2;113.44;0
2.56;-12.04;-11.11;78.5;-6.51;105.41;0
2.28;-11.78;-10.68;70.25;13.93;108.85;0
2.98;-12.89;-10.38;66.34;8.11;113.25;0
4.34;-13.27;-9.89;70.3;-14.59;109.28;0
4.52;-12.63;-10.22;89.29;-45.88;100.41;0
3.25;-11.67;-11.25;103.38;-60.68;90.12;0
1.25;-11.54;-12.04;104.83;-43.82;80.19;0
-0.77;-11.69;-12.19;92.18;-16.21;77.57;0
-1.63;-12.13;-12.14;74.05;8.63;78.57;0
-1.9;-12.43;-11.32;63.53;16.33;81.16;0
-0.89;-12.52;-10.98;63.76;11.74;78.53;0
0.11;-11.82;-11.15;65.41;-0.87;69.66;0
0.28;-10.94;-11.58;63.16;-16.82;61.25;0
-0.08;-10.06;-11.78;57.23;-29.88;56.58;0
-0.76;-9.38;-11.42;50.91;-39.85;59.97;0
-0.75;-8.55;-10.92;44.36;-47.91;64.9;0
-0.07;-8.2;-10.76;38.09;-49.94;65.92;0
0.52;-7.69;-10.61;33.7;-52.96;60.91;0
1.16;-7.37;-10.77;30.65;-49.16;54.83;0
1.53;-6.84;-10.82;25.3;-46.23;46.13;0
2.05;-6.34;-10.98;18.47;-40.84;37.79;0
2.46;-5.74;-10.86;11.01;-35.28;27.54;0
2.73;-5.2;-10.53;4.89;-29.84;15.79;0
2.43;-4.8;-10.22;-1.31;-26.17;3.67;0
1.68;-4.54;-9.6;-6.37;-27.49;-6.82;0
0.88;-4.31;-8.71;-10.11;-33.25;-16.33;0
0.17;-4.25;-8.29;-14.24;-44.43;-25.78;0
-0.59;-4.55;-7.9;-21.74;-57.12;-32.83;0
-1.22;-5.13;-7.43;-30.33;-67.99;-38.08;0
-1.85;-5.71;-7.06;-39.24;-72.91;-42.3;0
-2.64;-6.42;-6.25;-47.45;-66.58;-44.78;0
-3.34;-7.42;-5.43;-53.88;-48.34;-46.58;0
-4.76;-8.52;-4.26;-57.2;-22.17;-49.2;0
-6.16;-10.26;-3.99;-60.75;6.54;-53.14;0
-7.81;-11.58;-4.4;-60.79;40.74;-53.66;0
-8.48;-12.27;-5.5;-56.17;74.39;-44.58;0
-7.69;-12.08;-6.48;-48.21;98.54;-32.63;0
-7.46;-10.69;-7.35;-40.88;96.06;-21.72;0
-5.77;-9.98;-9.52;-36.27;90.51;-10.3;0
-1.88;-10.46;-12.11;-39.6;89.1;-7.11;0
2.9;-12.75;-13.94;-58.55;82.99;-24.46;0
6.17;-16.49;-13.37;-88.02;50.74;-55;0
5.35;-19.18;-6.27;-99.14;-21.76;-65.4;0
0.9;-19.55;4.04;-42.96;-79.12;-64.81;0
-2;-16.12;-0.85;42.64;-58.79;-51.84;0
-1.72;-12;-8.03;77.78;-13.07;-36.53;0
0.02;-8.28;-14.99;70.87;48.69;-21.55;0
2.6;-5.25;-19.74;29.08;127.95;-17.89;0
4.39;-2.3;-20.42;-39.53;163.09;-26.53;0
4.05;-1.27;-16.78;-98.2;146.23;-30.33;0
5.01;-2.93;-11.65;-125.61;107.58;-46.16;0
4.15;-6.79;-5.82;-98.05;68.27;-63.05;0
2.41;-9.32;-5.08;-34.34;49.77;-71.94;0
1.11;-11.03;-9.17;12.25;43.32;-77.37;0
-0.13;-14.05;-13.75;20.49;37.32;-77.98;0
-2.82;-14.78;-15.56;1.87;26.44;-81.58;0
-6.6;-12.03;-14.25;-21.2;14.12;-72.34;0
