acc_x;acc_y;acc_z;gyro_x;gyro_y;gyro_z;label
-0.83;-9.27;-8.78;-0.89;-17.28;-6.59;1
-0.63;-9.4;-8.46;-1.19;-20.26;-5.42;1
-0.28;-9.79;-8;-1.14;-20.13;-3.71;1
0.01;-9.89;-8.23;1.71;-18.39;-2.87;1
0.14;-9.79;-8.43;4.11;-17.1;-4.19;1
0.11;-9.44;-8.7;2.99;-16.12;-5.52;1
0.11;-9.3;-8.7;-0.35;-13.72;-6.17;1
0.14;-9.46;-8.39;-3.04;-11.64;-4.82;1
0.17;-9.64;-8.15;-3.27;-9.47;-3.33;1
0.31;-9.68;-8.11;-1.92;-5.26;-1.66;1
0.27;-9.55;-8.32;-1.95;-1.71;-0.45;1
0.19;-9.4;-8.21;-3.18;0.53;0.21;1
0.03;-9.45;-8.15;-5.66;1.7;1.19;1
0.01;-9.77;-7.9;-6.57;2.33;2.05;1
0.24;-9.95;-7.52;-5.37;3.85;1.66;1
0.4;-10.07;-7.36;-2.5;6.42;0.41;1
0.48;-10.1;-7.28;0.23;9.87;-0.47;1
0.51;-9.96;-7.4;2.99;12.05;-1.3;1
0.56;-9.76;-7.69;4.37;13.91;-2.73;1
0.42;-9.6;-7.94;4.35;13.48;-3.92;1
0.22;-9.59;-8.14;4.3;12.83;-4.8;1
-0.1;-9.47;-8.22;3.03;14.1;-5.56;1
-0.33;-9.37;-8.26;1.56;11.79;-5.65;1
-0.41;-9.45;-8.27;0.51;7.73;-5.21;1
-0.39;-9.64;-8.34;-0.58;5.27;-4.69;1
-0.28;-9.73;-8.55;-0.13;4.22;-5.64;1
-0.21;-9.58;-8.46;0.23;2.53;-6.17;1
-0.34;-9.53;-8.31;0.69;0.38;-5.93;1
-0.48;-9.6;-8.23;0.47;0.59;-4.72;1
-0.61;-9.83;-8.27;0.07;1.91;-3.73;1
-0.59;-9.87;-8.32;0.81;1.06;-3.37;1
-0.53;-9.77;-8.38;1.51;-0.5;-3.35;1
-0.48;-9.46;-8.63;1.14;-1.9;-3.42;1
-0.41;-9.32;-8.66;-1.31;-2.41;-2.34;1
-0.27;-9.3;-8.69;-2.26;-3.78;-1.94;1
-0.05;-9.52;-8.67;-2.2;-2.59;-1.41;1
-0.17;-9.6;-8.67;-1.97;-1.26;-1.04;1
-0.17;-9.67;-8.6;-0.72;-2.3;-0.48;1
-0.12;-9.61;-8.52;0.12;-4.19;0.02;1
-0.14;-9.61;-8.6;-0.31;-4.26;0.02;1
-0.25;-9.69;-8.52;-0.76;-2.3;-0.23;1
-0.19;-9.76;-8.55;-0.33;-1.32;-1.13;1
-0.11;-9.72;-8.61;0.27;-2.14;-1.98;1
-0.1;-9.64;-8.73;0.4;-3.98;-2.51;1
-0.03;-9.62;-8.63;0.54;-4.98;-2.25;1
-0.13;-9.66;-8.63;0.28;-3.59;-2.15;1
-0.08;-9.63;-8.69;0.28;-0.92;-2.72;1
-0.1;-9.6;-8.62;0.38;0.46;-2.7;1
