label;acc_x_avg;acc_y_avg;acc_z_avg;gyro_x_avg;gyro_y_avg;gyro_z_avg;acc_x_max;acc_y_max;acc_z_max;gyro_x_max;gyro_y_max;gyro_z_max;acc_x_min;acc_y_min;acc_z_min;gyro_x_min;gyro_y_min;gyro_z_min;acc_x_stdev;acc_y_stdev;acc_z_stdev;gyro_x_stdev;gyro_y_stdev;gyro_z_stdev
1;-2.376114015;-9.592622133;-10.59121369;-0.188906103;3.706068906;-6.585793382;2.867064286;-4.720256127;-3.333542323;47.72808047;86.86429513;141.0607967;-10.50457328;-14.2992606;-16.9208887;-86.73762264;-90.26547537;-120.841587;2.501746536;1.784054544;1.794929195;20.80198026;35.20910625;74.87845793
1;-2.105982423;-9.829894532;-10.46003535;0.251103547;3.753853788;-8.122295139;7.912325955;-5.427941214;-7.067183158;60.6946396;62.42785033;144.5083948;-10.44491234;-15.75539085;-13.24535179;-42.29160008;-44.96119752;-95.42289291;2.84418447;2.351023692;1.047734777;19.63604009;24.3168186;85.09822134
1;-2.168514012;-9.779503332;-10.41412042;-2.004301036;7.566088165;-9.73752529;10.45692824;-4.224549668;-6.201205174;61.4056937;111.1997027;173.7667175;-15.96600494;-16.03424886;-14.07827338;-66.3361099;-86.92497538;-164.4430992;3.615540216;2.793205521;1.31121866;25.24100404;47.30803108;104.6352248
1;-2.337278567;-10.04913532;-10.82293826;0.099752796;-0.348469378;29.93325933;12.16324754;-1.60796689;-5.416385093;69.21623061;118.0955632;186.4084612;-13.10537007;-16.48663674;-15.95776987;-70.26290441;-140.3879473;-133.94512;4.639670361;3.007707811;1.79728767;29.66100334;55.71601632;114.4627849
1;-2.336974007;-9.355101819;-10.28235446;1.285706417;2.371401443;5.864629576;16.60452405;-0.789797367;-3.345525904;51.84891051;159.1730985;177.3075218;-14.33322599;-16.67017013;-17.10907439;-93.2129114;-108.6843449;-123.0166465;4.699693376;3.099974838;2.116943254;22.0706131;50.89910603;102.4185522
1;-2.546755146;-9.712642174;-10.83295028;-2.955608919;4.972717921;-13.61098099;15.52525771;-0.42988666;-2.140068416;63.89600255;169.0308097;168.8071229;-19.27519938;-16.8931777;-19.66688568;-103.1047348;-140.2496792;-151.884635;6.38979729;3.302664219;3.071767766;30.95851753;58.80520672;99.61232195
1;-2.392006014;-10.09353766;-10.61360555;-0.687393344;0.217908952;-16.67595205;12.59692364;-4.03900591;-4.67932977;74.59502446;106.0067134;196.9885718;-14.57652891;-18.54513136;-15.47635203;-52.82750289;-65.0452929;-126.2076915;4.138734212;3.107311278;1.490344699;21.81289316;33.81431249;110.7684231
1;-2.885750895;-9.79873218;-10.71996631;4.602681457;5.561080234;17.46956851;13.61412464;-2.16811587;-1.981338132;70.49141604;132.3089192;206.5475763;-12.48825951;-16.17890982;-16.82941919;-100.3469361;-152.5042166;-123.2050463;4.698356723;3.267867471;2.260389347;27.99550024;52.65231254;115.3704466
1;-1.847920014;-9.589184241;-10.45323554;-3.01611888;3.243593506;13.69734821;18.05609247;-2.563268584;-3.637528027;69.88558566;159.7740791;208.10379;-16.74876205;-19.61991261;-14.64483406;-72.1209499;-104.6837027;-143.3117226;5.083323343;4.218336146;1.865533824;25.86393188;49.33018034;122.8380599
1;-2.920526801;-9.802511238;-10.62811471;-2.776988049;4.359449788;-14.21852953;19.93457867;0.896267666;4.736180753;71.57274148;178.8389532;202.6218976;-16.94726986;-17.24529456;-26.3074709;-150.2521353;-142.9440689;-160.6913302;7.05398951;3.802992901;3.966591466;35.77583584;65.63192178;112.4607646
1;-2.864772175;-9.97742543;-10.72212591;3.177691451;4.198763823;-17.91835192;10.99605464;-3.528737189;-4.946205807;67.8530815;123.8076866;198.8769999;-14.96226583;-17.45624608;-17.76199376;-73.60077901;-68.41464381;-161.9269434;5.004539821;3.064308688;1.794456162;27.05212251;36.89948587;118.4551787
1;-1.666150713;-10.37240816;-10.69641787;0.315054268;-0.887804381;33.8494982;15.13314439;-3.04282726;-0.750308197;71.07374478;90.62271131;200.9193615;-13.64869784;-18.01237389;-20.91835544;-119.9749187;-139.8073547;-162.6949447;5.407535077;3.792641893;2.750644292;29.54715469;49.81633995;124.4960522
1;-2.094518783;-9.838929167;-10.8377342;-5.276765005;7.830614832;-9.457325141;17.13537163;-3.61641437;3.613649549;100.8661983;111.8728841;194.4641055;-18.41631101;-16.75292681;-26.37526503;-133.7018303;-145.174133;-177.3809931;6.758845143;3.257524404;4.504754633;41.50572734;56.79483911;113.643952
1;-2.664932449;-10.16726578;-10.84662096;1.134603212;7.907371233;-25.43720465;16.48372234;-1.31806644;-0.204518623;85.89962822;163.9698245;203.4121374;-15.71188186;-16.89145792;-22.4285632;-113.9621183;-129.3079086;-138.6319033;5.86255051;3.298803488;2.754654804;29.070771;51.05709739;114.7479793
1;-2.187550827;-10.37738413;-10.53371664;1.547091361;-2.374357854;33.67890754;12.06042805;-1.477187954;-1.146285995;73.84784294;124.2007461;187.7021165;-12.25863217;-18.26894049;-17.27807895;-122.7357407;-125.2321496;-156.9411439;5.053452525;3.758392229;2.702637613;33.01766949;49.40468581;118.0448575
1;-2.290514494;-9.792635006;-10.69858195;-4.111795893;5.69017023;-9.06337872;14.77347203;-3.54037984;-0.551747142;69.47376539;109.1860313;189.0268077;-18.31447349;-17.76543131;-22.54660902;-126.2149093;-162.4054398;-179.7457833;6.668370565;3.365742268;3.9437022;39.85217774;63.12697414;110.4081985
1;-1.389443607;-10.34225779;-11.05872219;-2.503076837;6.300030221;-16.77630577;16.43200246;-0.32891475;3.544167339;54.8337697;106.002169;192.537448;-14.34134057;-17.8636914;-21.17955098;-132.4627712;-114.9090594;-166.5149212;6.009545978;3.407183751;3.016254774;29.81511821;55.18718365;117.7146698
1;-3.065853768;-10.04147788;-10.9676823;3.597866171;-0.272994543;24.02925517;15.49705586;1.588644671;4.655136837;87.51886796;156.5543192;191.9155471;-13.24823487;-16.9405648;-27.25960873;-166.5309028;-104.5129879;-177.0835985;5.580956761;3.798367476;3.885993426;37.77406126;54.87663527;122.4642999
1;-2.59365408;-9.370459367;-10.61761004;0.060748508;4.0546171;-2.300930399;17.95905277;-0.885145577;-0.231981933;66.94976625;171.261292;197.1566461;-16.96414957;-16.5915438;-20.93925844;-122.0922833;-107.2257362;-155.4085964;5.783390419;3.61383608;3.222355441;30.02419717;56.74142349;117.0598643
1;-2.451227611;-10.43265751;-10.78236523;-0.61971145;4.220988572;-18.18142;13.64368113;-3.045983373;-0.789299119;72.51913808;179.4484061;218.2351319;-15.19026482;-17.31699381;-20.39295127;-80.58891267;-87.51944569;-182.7672586;5.076354658;3.35042839;2.556643551;25.94957949;48.51456413;120.94973
1;-3.391878601;-9.660819202;-10.84489302;4.509864541;0.994461503;-1.622751193;18.46791084;-2.603869527;-3.322664253;61.3949114;161.5462379;200.6540506;-15.62301559;-16.85195914;-18.61018312;-99.26583143;-95.45215439;-139.0320013;5.587036134;3.510727314;2.222240559;26.35701114;48.93555063;117.3374997
1;-2.708091623;-10.14815261;-10.36062957;2.807157934;-0.115863595;33.78495488;10.19338658;-2.209367522;-5.89142989;58.19751958;132.7765337;202.0546485;-12.65411445;-16.67596171;-15.30365415;-62.80835446;-53.47902812;-121.9595306;3.968916578;4.122244337;1.487032536;22.47243533;35.05276841;118.8823281
1;-2.646937316;-9.482398573;-10.99815193;-1.443215403;10.35483934;-24.13372709;13.35679994;-1.183893073;0.055108435;96.67033367;239.0019726;181.5503654;-13.3044357;-17.42508624;-25.23136286;-97.69633548;-194.4873305;-170.4785941;5.906321121;3.393003155;4.046097829;34.24386896;77.09338131;101.5219686
1;-2.704440659;-10.12377373;-10.89016267;4.231708579;3.84334549;-23.5604867;10.28071723;-3.081349724;4.80692121;91.40526336;139.6226217;217.8674429;-14.60798349;-18.94119496;-28.09100339;-142.8944593;-117.1682587;-191.413214;5.367392177;3.342482354;3.864645832;34.54702485;45.83882488;120.0127702
1;-2.782865795;-10.32982594;-10.72115892;6.276754017;-4.323519822;40.22864695;8.652242207;-2.981138587;-2.550983159;82.71494678;156.6353124;213.5701324;-12.18028998;-16.82501205;-22.67264937;-104.9680346;-72.12582782;-136.6317522;3.972192568;3.388240683;2.536076499;26.31514438;42.62098072;120.6811865
1;-2.240810794;-9.478387476;-10.79013103;0.192868313;9.713207109;-16.26905689;10.2463681;-3.278564275;2.471035768;52.21970566;160.8883865;190.3052406;-14.39671252;-16.42765677;-23.52987114;-126.5731773;-148.0319196;-134.8278173;4.933966575;3.532115097;3.633092804;30.72451421;61.37347892;104.9378486
1;-2.219739776;-10.25513072;-11.17181161;2.438310838;7.539746973;-24.09073216;11.60090215;-3.944394314;1.409593407;85.47933527;135.5198452;202.2237597;-14.99984787;-17.33358302;-27.7252785;-136.7048056;-139.9516738;-150.8448608;4.975183094;3.070706087;3.637925276;33.31981613;50.29128388;115.5104872
1;-2.596840647;-10.47337014;-11.06086342;0.156408138;-5.214789519;29.1935037;13.54793842;-3.858959265;1.545011428;86.5951767;124.0160126;219.1368438;-16.15645791;-17.76305864;-26.66104267;-119.2818226;-124.2888752;-128.8292907;5.785544958;3.586400623;3.77384066;37.20121666;52.18392859;123.6124415
1;-2.472150137;-9.423555584;-10.62384278;-0.901220939;2.949312334;-2.413489458;12.15455578;-0.20770679;6.201905556;83.75931386;124.0003829;188.6927882;-14.93260006;-15.43443331;-26.54991011;-146.6591768;-187.3368668;-162.726117;5.79141085;3.66283841;4.642179092;40.92167886;55.80478913;112.5987351
1;-2.139438634;-10.25589628;-10.93911486;-1.970649501;0.56628994;-18.86518908;15.41928984;-3.126575446;3.670855752;77.05302795;166.7790296;196.3549816;-13.76828859;-17.41597129;-26.20006966;-135.373807;-95.96333564;-156.7350709;5.613065432;3.496218467;3.901443928;33.1775404;45.180152;110.4181144
