label;acc_x_avg;acc_y_avg;acc_z_avg;gyro_x_avg;gyro_y_avg;gyro_z_avg;acc_x_max;acc_y_max;acc_z_max;gyro_x_max;gyro_y_max;gyro_z_max;acc_x_min;acc_y_min;acc_z_min;gyro_x_min;gyro_y_min;gyro_z_min;acc_x_stdev;acc_y_stdev;acc_z_stdev;gyro_x_stdev;gyro_y_stdev;gyro_z_stdev
1;-2.745408643;-9.997320796;-10.87425372;9.241166246;12.45118083;1.665686604;0.809210235;-6.801816774;-9.093997292;47.72808047;63.53464807;141.0607967;0.809210235;-11.80469946;-11.931628;-12.8641934;-19.10002381;-63.38374345;1.494008433;1.24977618;0.610935803;16.87188342;21.20824084;75.05406178
1;-2.006819386;-9.18792347;-10.30817367;-9.618978451;-5.039043019;-14.83727337;2.867064286;-4.720256127;-3.333542323;27.46043536;86.86429513;140.6469998;2.867064286;-14.2992606;-16.9208887;-86.73762264;-90.26547537;-120.841587;3.183522586;2.129429481;2.443881406;20.20230709;43.57518774;74.53808413
1;-2.018543696;-10.54325431;-10.38252927;7.027077813;3.329715545;32.95484345;1.909214591;-7.490093194;-9.009975384;60.6946396;58.57008241;144.5083948;1.909214591;-12.64231458;-11.88816639;-13.17527259;-29.82619423;-79.76664764;1.992416029;1.559396337;0.782547465;22.68486027;24.30870308;95.51379268
1;-2.193421149;-9.11653475;-10.53754142;-6.524870719;4.177992031;-49.19943373;7.912325955;-5.427941214;-7.067183158;9.293568898;62.42785033;76.84835025;7.912325955;-15.75539085;-13.24535179;-42.29160008;-44.96119752;-95.42289291;3.515470856;2.774378328;1.262243733;13.06569653;24.5642558;45.43992304
1;-2.385835514;-9.630984052;-10.2148729;9.233423912;-3.760684968;64.97068665;1.00389201;-5.18765278;-8.490134459;61.4056937;68.82077603;173.7667175;1.00389201;-13.25334379;-12.85903199;-15.32900104;-86.92497538;-97.36427043;2.133072796;2.347620437;1.037247133;20.81820444;43.76802116;96.92421254
1;-1.95119251;-9.928022612;-10.61336794;-13.24202598;18.8928613;-84.44573723;10.45692824;-4.224549668;-6.201205174;46.41975806;111.1997027;-5.774717656;10.45692824;-16.03424886;-14.07827338;-66.3361099;-69.95623681;-164.4430992;4.665260525;3.194820903;1.522095672;24.4150296;48.41803668;36.54797146
1;-2.506912487;-9.389792141;-10.47196923;-2.638040942;-2.902938234;53.00971726;5.621578662;-1.60796689;-5.416385093;44.65563218;94.63159421;184.3212517;5.621578662;-16.48663674;-15.95776987;-70.26290441;-140.3879473;-133.94512;4.561523702;3.398243401;1.801338649;24.74124044;55.33160349;105.2160816
1;-2.167644647;-10.70847849;-11.1739073;2.837546533;2.205999478;6.856801395;12.16324754;-5.233537859;-6.34068608;69.21623061;118.0955632;186.4084612;12.16324754;-15.76131379;-15.32442383;-69.9655445;-102.6878451;-111.776954;4.756697904;2.417015053;1.740747566;33.91281301;56.54200371;119.6396055
1;-1.773922228;-9.151016733;-10.44114116;-7.590253182;0.423824436;-30.47896777;16.60452405;-0.789797367;-3.345525904;29.4372397;159.1730985;176.3819534;16.60452405;-16.67017013;-17.10907439;-93.2129114;-108.6843449;-119.6892879;5.91023978;3.200388489;2.706572301;23.17533073;59.50330178;86.2562614
1;-2.900025785;-9.559186906;-10.12356775;10.16166602;4.318978451;42.20822692;1.141847349;-3.837641326;-8.136822437;51.84891051;134.2346788;177.3075218;1.141847349;-15.33135643;-13.19342643;-11.93965368;-72.51298322;-123.0166465;3.007833839;3.014683948;1.29513183;16.92005009;41.06002864;105.1542819
1;-3.743956732;-9.412388464;-11.30971693;1.332248628;8.236320581;-53.8224081;15.52525771;-0.42988666;-2.140068416;63.89600255;169.0308097;150.8304983;15.52525771;-16.8931777;-19.66688568;-95.13401817;-81.01571375;-115.151225;6.035547328;3.273909399;2.895836324;31.79270151;60.64880804;71.38577313
1;-1.34955356;-10.01289588;-10.35618363;-7.243466467;1.70911526;26.60044611;13.67851149;-3.854210101;-2.232946298;59.8346142;122.0868059;168.8071229;13.67851149;-16.23836251;-19.47882929;-103.1047348;-140.2496792;-151.884635;6.568055845;3.336962506;3.195985322;29.80137003;57.32941926;107.9439069
1;-2.554648574;-10.82110678;-10.56537625;8.890483418;-3.13827748;35.76575049;2.175883646;-5.572612573;-9.051221622;74.59502446;68.92258359;196.9885718;2.175883646;-16.77520734;-13.0186966;-17.46893442;-55.74116694;-110.3950729;3.148883767;2.512510368;1.100815063;24.63944753;27.43011866;126.6385756
1;-2.229363453;-9.365968548;-10.66183485;-10.26527011;3.574095384;-69.11765458;12.59692364;-4.03900591;-4.67932977;10.73474029;106.0067134;95.35533496;12.59692364;-18.54513136;-15.47635203;-52.82750289;-65.0452929;-126.2076915;4.963704441;3.48063026;1.808602471;12.92272149;39.17590039;56.03431597
1;-3.401820794;-9.135729475;-10.30582489;4.99975138;3.375297186;45.4755936;1.514891284;-2.16811587;-1.981338132;56.76719257;132.3089192;179.0611064;1.514891284;-15.91711103;-16.82941919;-100.3469361;-152.5042166;-122.6292342;4.169961646;3.599456272;2.653933702;30.03191307;61.66683972;105.4108896
1;-2.369680997;-10.46173488;-11.13410773;4.205611534;7.746863282;-10.53645657;13.61412464;-3.744843687;-7.427327843;70.49141604;99.04959294;206.5475763;13.61412464;-16.17890982;-15.5496851;-39.15628383;-56.86804091;-123.2050463;5.164059062;2.778971243;1.711607955;26.10083059;42.29136397;119.0805408
1;-1.5412602;-9.560901696;-10.44528575;-11.79296328;-2.772860733;-13.43308773;18.05609247;-2.563268584;-3.637528027;21.66919544;125.6747006;208.10379;18.05609247;-19.61991261;-14.45353541;-72.1209499;-104.6837027;-143.3117226;5.99663619;4.666074001;2.236298076;21.20206698;49.62731903;118.3207538
1;-2.154579828;-9.617466785;-10.46118533;5.760725521;9.260047746;40.82778414;3.208097548;-3.141646432;-8.47858192;69.88558566;159.7740791;177.5358971;3.208097548;-17.51271637;-14.64483406;-32.08871826;-55.72765045;-137.2202877;4.007011167;3.765367292;1.424885841;27.29102415;48.78372961;122.4106016
1;-4.101770927;-9.542341898;-10.68462798;-4.470236083;1.686083817;-57.16646719;14.94467342;-2.897331632;-2.213547798;68.6848435;96.42712036;145.0335136;14.94467342;-16.30157334;-15.90037198;-86.11728918;-104.5849718;-160.6913302;7.106657478;3.418595081;2.697231874;33.31433733;49.23585295;78.10974551
1;-1.739282675;-10.06268058;-10.57160143;-1.083740015;7.032815758;28.72940812;19.93457867;0.896267666;4.736180753;71.57274148;178.8389532;202.6218976;19.93457867;-17.24529456;-26.3074709;-150.2521353;-142.9440689;-157.3530505;6.868829059;4.170819702;4.950476442;38.34377666;79.14703269;125.2497027
1;-2.128724616;-10.32897781;-10.57167878;9.739826567;-3.002630344;38.1172014;6.683662504;-5.098443099;-8.26321752;65.90512332;53.53673728;198.8769999;6.683662504;-15.77057568;-13.60337514;-21.86520727;-68.41464381;-137.4982275;4.54853826;2.80158757;1.383832718;23.41260703;23.7046245;130.0024722
1;-3.600819735;-9.625873049;-10.87257305;-3.384443665;11.40015799;-73.95390523;10.99605464;-3.528737189;-4.946205807;67.8530815;123.8076866;137.8315235;10.99605464;-17.45624608;-17.76199376;-73.60077901;-66.43957166;-161.9269434;5.367226791;3.297042972;2.13182459;29.02651705;45.64192352;70.99892028
1;-1.367770069;-10.12518738;-10.48117738;-2.569405712;1.901991039;35.81299078;15.13314439;-3.04282726;-0.750308197;45.36174729;90.62271131;200.9193615;15.13314439;-18.01237389;-20.91835544;-119.9749187;-139.8073547;-162.6949447;5.840390061;4.190957854;3.355664062;31.65496653;51.72187299;123.95257
1;-1.964531357;-10.61962894;-10.91165835;3.199514248;-3.677599801;31.88600562;6.07533413;-3.230112374;-7.448207892;71.07374478;83.14901526;194.2278564;6.07533413;-17.92372471;-15.19122601;-57.30581886;-134.8569735;-124.6708611;4.978733093;3.372381979;1.982792957;27.29228841;48.19695009;126.2645558
1;-2.365965206;-9.707240419;-11.23426058;-1.123963064;28.59088122;-78.62823109;11.94292901;-4.138068178;3.613649549;100.8661983;111.8728841;31.50145804;11.94292901;-16.41986535;-26.37526503;-133.7018303;-145.174133;-171.2735638;6.855490557;2.679605529;5.040233273;41.88563068;54.80603829;52.23768509
1;-1.823072361;-9.970617916;-10.44120782;-9.429566946;-12.92965156;59.71358081;17.13537163;-3.61641437;0.183942623;70.76073284;86.20435312;194.4641055;17.13537163;-16.75292681;-21.9615912;-123.4892912;-125.5803179;-177.3809931;6.719236282;3.771447138;3.908315777;41.12185515;51.32121042;116.6197729
1;-3.001078718;-11.08061177;-10.83992511;6.730342916;6.407388545;15.55368404;9.462792505;-4.977566248;-7.490910509;85.89962822;73.09901623;203.4121374;9.462792505;-16.89145792;-14.84290587;-37.10310703;-88.34526142;-125.0643832;5.138082733;2.739165779;1.949168661;29.56100761;39.2415319;134.7059353
1;-2.32878618;-9.25391979;-10.85331682;-4.461136493;9.407353922;-66.42809334;16.48372234;-1.31806644;-0.204518623;37.81944714;163.9698245;126.9309903;16.48372234;-16.27037407;-22.4285632;-113.9621183;-129.3079086;-138.6319033;6.542929046;3.575026251;3.395843911;27.74366162;61.01119066;70.9093586
1;-1.632929074;-9.783641533;-10.22133046;-1.344225122;-0.124880718;42.76461101;12.06042805;-1.477187954;-1.146285995;73.84784294;124.2007461;182.8190867;12.06042805;-18.26894049;-17.27807895;-122.7357407;-122.0488;-156.9411439;5.597760125;4.148490091;3.262553062;38.27810841;55.71851976;111.4378444
1;-2.74217258;-10.97112673;-10.84610281;4.438407844;-4.623834989;24.59320407;4.598715257;-3.172935439;-7.136768137;68.53835831;55.9130693;187.7021165;4.598715257;-17.29974256;-14.7815946;-62.69063805;-125.2321496;-112.7502467;4.430942519;3.257281149;1.978423784;26.83853712;42.62133737;124.7665561
1;-1.234967287;-9.584726227;-10.9791207;-3.424321198;20.54214263;-71.07965275;14.77347203;-3.54037984;-1.679378357;69.47376539;102.8709708;77.35952333;14.77347203;-16.33319665;-22.54660902;-108.4669815;-162.4054398;-154.9645205;6.859563866;2.680386637;3.880777398;34.18604843;56.95716393;59.42461233
1;-3.346061702;-10.00054379;-10.4180432;-4.799270589;-9.161802169;52.95289531;5.433253973;-4.308996547;-0.551747142;65.02525096;109.1860313;189.0268077;5.433253973;-17.76543131;-22.20750579;-126.2149093;-136.5007687;-179.7457833;6.365090116;3.951574528;4.025161907;45.15699133;66.00812497;115.1017555
1;-1.570159575;-11.00856755;-11.52032975;0.220828058;16.08922841;-5.679287635;15.13748761;-5.391413039;-8.126652149;54.8337697;106.002169;192.537448;15.13748761;-17.8636914;-14.42646123;-60.19820077;-114.9090594;-130.8907311;5.529397272;2.981324589;1.435965352;28.20655783;56.37816521;124.4500448
1;-1.20872764;-9.675948026;-10.59711464;-5.226981733;-3.489167968;-27.87332391;16.43200246;-0.32891475;3.544167339;47.99393121;101.6418947;191.5903969;16.43200246;-15.05289247;-21.17955098;-132.4627712;-114.7929742;-166.5149212;6.505800146;3.695992925;3.98552358;31.38904494;52.71945008;110.7120142
1;-3.049027975;-9.166724219;-10.67786066;1.341104802;4.337014577;32.52919056;5.183268425;1.588644671;4.655136837;87.51886796;156.5543192;190.5620391;5.183268425;-16.85862577;-27.25960873;-166.5309028;-104.5129879;-177.0835985;5.335693356;4.244194834;4.792270918;42.5846815;65.975608;124.8462681
1;-3.082679562;-10.91623154;-11.25750395;5.85462754;-4.883003663;15.52931977;15.49705586;-4.425186596;-4.908849495;86.76093033;73.97742951;191.9155471;15.49705586;-16.9405648;-18.63810502;-53.1045793;-78.09336889;-119.811736;5.870230834;3.094320855;2.715288237;32.54274857;41.08765758;120.6940082
1;-1.453383024;-9.567430674;-10.73081503;-7.403744208;6.20080814;-52.56358536;17.95905277;-0.935512536;-0.231981933;45.28913724;171.261292;154.8666562;17.95905277;-15.71343224;-20.93925844;-122.0922833;-107.2257362;-149.0778279;6.546312738;3.132363043;3.755758528;29.69719328;67.89940646;85.18837666
1;-3.733925135;-9.17348806;-10.50440505;7.525241224;1.908426059;47.96172456;2.394729095;-0.885145577;-5.839909693;66.94976625;119.1163516;197.1566461;2.394729095;-16.5915438;-19.41769777;-99.07042925;-78.09613888;-155.4085964;4.697882171;4.061437181;2.616712236;28.73442182;43.418366;123.5833031
1;-3.055532173;-11.15893314;-11.03339101;2.424402746;1.697338812;-10.57215045;6.43496775;-3.045983373;-0.789299119;72.51913808;60.2240216;218.2351319;6.43496775;-17.31699381;-18.44960466;-64.32824519;-53.85340226;-138.1653689;4.444456571;3.301452512;2.52908197;29.73930064;25.12603763;123.2505754
1;-1.846923048;-9.706381883;-10.53133945;-3.663825646;6.744638333;-25.79068955;13.64368113;-3.873776914;-4.694011036;25.83449009;179.4484061;214.0633047;13.64368113;-17.09278057;-20.39295127;-80.58891267;-87.51944569;-182.7672586;5.618379765;3.271659986;2.584839154;21.38144801;64.11742717;119.362274
1;-2.998380525;-9.624221116;-10.35804758;8.984871751;6.125681403;39.60497144;3.007651753;-2.938412104;-8.047107866;59.72566224;161.5462379;200.6540506;3.007651753;-16.85195914;-14.63084375;-16.33373792;-77.0321074;-139.0320013;4.527725049;3.872980871;1.531203644;19.03721787;45.63344102;127.014693
1;-3.785376676;-9.697417289;-11.33173847;0.034857332;-4.136758397;-42.85047383;18.46791084;-2.603869527;-3.322664253;61.3949114;156.1636945;186.4146551;18.46791084;-15.99583123;-18.61018312;-99.26583143;-95.45215439;-125.9058224;6.50005309;3.146304662;2.673797509;31.62715672;51.98175614;90.63994739
1;-1.915784703;-9.585118952;-10.51922981;-6.385582849;3.360655995;21.71488774;10.19338658;-2.209367522;-5.89142989;15.71280196;132.7765337;202.0546485;10.19338658;-16.67596171;-15.30365415;-62.80835446;-53.47902812;-121.9595306;4.514631868;4.17846108;1.785479476;18.71239134;43.87544297;120.9096622
1;-3.500398544;-10.71118626;-10.20202933;11.99989872;-3.592383185;45.85502202;2.296303059;-2.772292805;-8.56164362;58.19751958;41.67465019;201.9584718;2.296303059;-16.29534974;-12.84473415;-17.37380407;-44.54635228;-115.6055766;3.187953765;4.028163446;1.108326518;22.30944268;23.08134313;116.7817569
1;-3.718178952;-8.741672972;-10.97382072;1.072532864;17.39025571;-80.83022526;13.35679994;-1.183893073;0.055108435;68.34449821;196.4646906;99.66385592;13.35679994;-16.23042987;-22.47353198;-97.69633548;-67.59956658;-170.4785941;5.604276197;3.477850543;3.834075453;31.62217702;59.02261859;63.7046649
1;-1.57569568;-10.22312417;-11.02248313;-3.958963669;3.319422978;32.56277109;12.36745128;-4.945317122;-3.358916931;96.67033367;239.0019726;181.5503654;12.36745128;-17.42508624;-25.23136286;-86.48295388;-194.4873305;-125.7253182;6.060637052;3.169337643;4.286557205;36.82849738;91.7790204;101.021222
1;-2.421390876;-10.96344548;-10.64103254;8.16496778;-9.82871397;36.30195291;5.495046447;-4.424505968;-7.191593589;81.28796921;29.5092218;217.8674429;5.495046447;-18.94119496;-14.25908841;-18.60613087;-60.74397495;-133.0947464;4.363151808;3.459917812;1.864094126;27.00856689;21.12171602;133.6638133
1;-2.987490441;-9.284101974;-11.1392928;0.298449378;17.51540495;-83.42292632;10.28071723;-3.081349724;4.80692121;91.40526336;139.6226217;78.81008603;10.28071723;-15.64056407;-28.09100339;-142.8944593;-117.1682587;-191.413214;6.245409204;3.026957936;5.15502365;40.62407834;58.46084513;62.61602029
1;-1.989589551;-9.762973379;-10.64377825;-0.212531371;0.828009693;62.02497732;8.652242207;-3.655064398;-2.550983159;82.71494678;156.6353124;213.5701324;8.652242207;-16.82501205;-22.67264937;-104.9680346;-68.22257293;-133.9964316;4.725482182;3.874787208;3.399827895;33.69259918;54.59126314;117.6568698
1;-3.576142039;-10.8966785;-10.79853959;12.7660394;-9.475049336;18.43231657;0.844841581;-2.981138587;-8.39021377;41.68105746;33.8891418;184.9602217;0.844841581;-14.38800649;-13.24117654;-8.61095729;-72.12582782;-136.6317522;2.874750868;2.743155919;1.193137552;13.34070215;25.2151281;120.8818883
1;-2.702071809;-9.180044904;-10.94441674;-4.033906747;11.15787309;-79.54418319;10.2463681;-3.278564275;-0.227819379;36.13035456;160.8883865;52.78092599;10.2463681;-14.05114027;-18.05161097;-91.50486604;-142.6355352;-134.8278173;4.71339876;3.349778063;2.8972846;24.52603092;65.34652499;46.95574505
1;-1.779549779;-9.776730047;-10.63584532;4.419643374;8.268541131;47.0060694;6.168285019;-3.848573239;2.471035768;52.21970566;118.1087505;190.3052406;6.168285019;-16.42765677;-23.52987114;-126.5731773;-148.0319196;-134.4527349;5.151168189;3.71532238;4.269105713;35.62681728;57.75683253;108.9628129
1;-2.82759047;-11.06812307;-11.31127471;5.469863724;-8.658724347;24.98685835;3.813861423;-4.075571023;-8.143441649;73.39266529;52.21329138;202.2237597;3.813861423;-17.33358302;-15.28574028;-57.2276081;-133.9927128;-131.8142664;4.121381982;3.127795826;1.838808103;29.37072368;42.52473333;134.478275
1;-1.611889082;-9.442138365;-11.03234851;-0.593242047;23.73821829;-73.16832267;11.60090215;-3.944394314;1.409593407;85.47933527;135.5198452;101.7990651;11.60090215;-16.00960909;-27.7252785;-136.7048056;-139.9516738;-150.8448608;5.680687487;2.814055339;4.828890497;36.90098229;52.59467044;62.91031632
1;-3.014887378;-9.866191789;-10.73712612;-5.489622965;-5.590593786;59.04006668;6.127645542;-3.858959265;1.545011428;86.5951767;124.0160126;191.1995575;6.127645542;-17.60696962;-26.66104267;-119.2818226;-124.2888752;-122.2390482;6.200548024;4.093713924;5.02554247;47.0987085;63.89186482;102.2586148
1;-2.178793916;-11.08054849;-11.38460072;5.802439241;-4.838985253;-0.653059283;13.54793842;-5.761183701;-8.118985444;70.15016358;58.97939318;219.1368438;13.54793842;-17.76305864;-15.38148259;-22.30049859;-95.5893314;-128.8292907;5.368865677;2.911384857;1.817809272;22.64419829;37.67546863;136.3711481
1;-1.519651307;-9.814196922;-10.85531222;-6.072890422;3.874771894;-42.018618;12.15455578;-0.20770679;6.201905556;61.87916454;124.0003829;188.6927882;12.15455578;-15.43443331;-26.54991011;-146.6591768;-187.3368668;-162.726117;6.183204241;3.620968384;5.27603821;37.6802067;61.14942334;101.3646969
1;-3.424648967;-9.032914245;-10.39237333;4.270448543;2.023852773;37.19163908;5.238193529;-2.698775136;2.308501833;83.75931386;88.59130488;178.9291176;5.238193529;-15.29512195;-22.45272547;-139.7470088;-150.493804;-142.7469994;5.261351968;3.699152912;3.948863579;43.69165588;50.50647163;110.1804764
1;-2.561677925;-11.00875845;-11.17754732;5.700374333;1.50119854;3.963818366;11.91802142;-3.126575446;-2.701765092;75.53529884;74.33672011;196.3549816;11.91802142;-17.41597129;-16.5026152;-54.82378488;-75.83273266;-133.0532188;4.991645817;3.664102807;2.418220577;27.03385268;32.52346027;123.4194609
1;-1.717199344;-9.503034102;-10.70068241;-9.641673336;-0.36861866;-41.69419653;15.41928984;-3.494744554;3.670855752;77.05302795;166.7790296;156.2400799;15.41928984;-16.22516335;-26.20006966;-135.373807;-95.96333564;-156.7350709;6.194805887;3.180276744;4.978891067;37.054587;55.3587491;91.30814352
1;-3.941289689;-8.779699082;-10.31049652;10.47250562;13.19955119;50.28545954;1.99056109;-2.411679839;-7.393520098;84.1641823;120.6635035;181.9584092;1.99056109;-16.17861826;-17.90551636;-63.26504206;-68.03754519;-113.9747136;3.923199824;4.033586983;2.381744785;32.54690561;48.12950097;109.6533262
1;-3.349366323;-10.82615607;-11.01159868;8.912283433;6.912363872;-11.36546801;8.806630812;-2.6403566;-7.228649376;78.2146963;47.28124503;187.0429335;8.806630812;-17.29112577;-14.27795827;-40.01897655;-66.24832187;-157.9357168;4.027760069;4.181826759;1.616867961;30.14382042;30.23554735;127.2687396
1;-2.038941402;-9.560393739;-10.39529231;-8.603277091;6.736767266;-28.22627206;10.63221929;-2.361753736;-0.422150905;35.53355436;159.329214;171.3332114;10.63221929;-17.01960357;-20.44568456;-116.4165211;-108.0489721;-129.9802605;5.029757785;3.777094088;3.409722006;29.64178764;57.70303215;90.64837112
1;-2.724570214;-9.667982406;-10.49818739;17.17896447;11.83839839;29.37829151;4.189298112;-1.783545751;-5.611143533;84.98769806;119.6247062;192.6516737;4.189298112;-17.462107;-17.41955964;-13.02653116;-86.4921885;-160.3505516;4.383131538;4.612522818;1.685163118;19.45251477;51.27861789;130.6857409
1;-3.502887419;-9.701364867;-11.310808;-3.121106367;-12.1351124;-39.43363537;18.80349248;-0.895778792;5.057498061;49.45428014;87.78450461;165.9794409;18.80349248;-16.23925219;-26.62580232;-147.798865;-163.422781;-133.3513677;7.476269691;3.135355405;5.079959403;39.24762405;58.39700647;85.9411216
1;-1.139288614;-10.05817546;-10.48505144;-2.395878721;7.012425282;21.9483181;6.045483897;-3.586407255;-1.371578251;66.04786263;104.6418959;186.3345971;6.045483897;-16.58873953;-24.04836244;-112.5718034;-131.6824981;-141.032026;6.287666275;3.60387337;4.035199705;33.88565176;53.7173672;110.210957
1;-2.606247311;-10.80939809;-10.57687029;14.19250738;-9.811388302;43.4332681;3.88588147;-1.733464177;-8.101069121;73.96947541;71.71223634;219.7591239;3.88588147;-18.69694581;-15.04143948;-37.9842374;-163.7333868;-139.113961;4.388036654;4.280244953;1.829228356;22.22948571;52.18119114;138.0598413
1;-4.168650233;-8.798063938;-10.62876149;5.363338023;18.7142267;-71.8823684;19.60465658;-0.897440543;6.023151616;84.86703649;179.8089038;109.4176083;19.60465658;-16.97921398;-26.16195864;-148.5268856;-128.3171158;-164.5976892;7.173383625;3.633543053;5.057828949;45.39117254;69.9891926;68.89860698
1;-2.313951929;-9.927919179;-10.45539667;-9.009187027;2.493790071;37.76046539;16.70993502;-3.015149664;3.145808969;56.26057891;134.2204164;187.8114753;16.70993502;-17.07128392;-24.56102353;-128.3353857;-125.3959072;-149.2952179;6.875555774;3.966524907;4.898617348;35.96063176;69.6804291;115.7675712
